action,activation,acuity,adaptation,addiction,agency,analogy,anhedonia,anticipation,anxiety,appetite,arousal,articulation,association,attachment,attention,attentional bias,attentional resources,attitude,autobiographical memory,automaticity,balance,behavioral inhibition (cognitive),belief,categorization,central executive,circadian rhythm,cognitive control,cognitive development,cognitive dissonance,cognitive effort,cognitive load,cognitive map,cognitive training,communication,competition,concept,conceptualization,conduct disorder,consciousness,consolidation,context,context dependent,conversation,coordination,critical period,cueing,decision,decision making,declarative memory,delusion,desire,detection,discourse,discrimination,distraction,divided attention,dyslexia,eating,efficiency,effort,egocentric,embodied cognition,emotion,emotion recognition,emotion regulation,empathy,encoding,episodic memory,excitation,expectancy,expertise,explicit memory,externalizing,extinction,face recognition,facial expression,familiarity,fatigue,fear,filtering,fixation,fluid intelligence,focus,focused attention,forgetting,frustration,gaze,generalization,goal,guilt,habit,happiness,hyperactivity,imagery,imagination,impulsivity,inattention,induction,inference,inhibition,insight,integration,intelligence,intention,interference,internalizing,irritability,judgment,knowledge,language,language acquisition,language comprehension,language processing,learning,life satisfaction,listening,localization,locomotion,logic,loneliness,long term memory,loss,maintenance,manipulation,meaning,memory,memory consolidation,memory retrieval,mental arithmetic,mental imagery,mental rotation,metacognition,monitoring,mood,morphology,motor control,motor learning,movement,multisensory,naming,narrative,navigation,negative emotion,neuroplasticity,object recognition,olfaction,openness,pain,pattern recognition,perception,planning,priming,problem solving,processing speed,prospective memory,prototype,psychosis,reading,reasoning,recall,recognition,rehearsal,reinforcement learning,resource,response bias,response inhibition,response selection,retention,retrieval,reward processing,rhythm,rigidity,risk,routine,rule,sadness,salience,schema,search,selective attention,self control,self monitoring,semantic memory,semantic processing,set shifting,short term memory,skill,skill acquisition,sleep,social cognition,social context,social phobia,spatial ability,spatial attention,spatial cognition,spatial memory,spatial working memory,speech perception,stereotypes,strategy,strength,stress,suicidal ideation,sustained attention,syntax,task difficulty,task switching,theory of mind,thought,trait anxiety,transduction,uncertainty,understanding mental states,updating,utility,valence,verbal fluency,verbal memory,visual acuity,visual attention,visual memory,visual perception,visual recognition,visual search,visual working memory,word recognition,working memory
9947.0,1095.0,11.0,194.0,141.0,134.0,23.0,20.0,95.0,550.0,37.0,135.0,9.0,398.0,22.0,1106.0,12.0,23.0,67.0,9.0,27.0,194.0,130.0,111.0,58.0,8.0,6.0,392.0,132.0,18.0,26.0,37.0,18.0,38.0,300.0,67.0,323.0,40.0,4.0,141.0,80.0,738.0,33.0,22.0,191.0,16.0,18.0,560.0,415.0,14.0,7.0,49.0,238.0,23.0,124.0,36.0,10.0,13.0,103.0,131.0,159.0,32.0,243.0,388.0,12.0,39.0,90.0,176.0,72.0,69.0,47.0,87.0,6.0,7.0,39.0,11.0,40.0,35.0,74.0,150.0,15.0,35.0,5.0,529.0,10.0,15.0,6.0,57.0,34.0,730.0,16.0,47.0,19.0,173.0,154.0,30.0,82.0,8.0,159.0,87.0,759.0,196.0,340.0,84.0,276.0,197.0,5.0,15.0,110.0,798.0,508.0,12.0,54.0,50.0,1495.0,6.0,38.0,86.0,52.0,22.0,3.0,87.0,481.0,277.0,149.0,173.0,2094.0,36.0,25.0,5.0,28.0,30.0,28.0,371.0,376.0,53.0,185.0,41.0,609.0,38.0,74.0,43.0,62.0,7.0,57.0,111.0,5.0,12.0,299.0,11.0,1030.0,466.0,109.0,104.0,37.0,65.0,37.0,126.0,110.0,156.0,142.0,440.0,14.0,63.0,55.0,11.0,99.0,54.0,138.0,153.0,12.0,91.0,19.0,801.0,92.0,103.0,19.0,38.0,41.0,234.0,41.0,36.0,37.0,31.0,37.0,27.0,71.0,126.0,19.0,220.0,369.0,43.0,11.0,7.0,24.0,56.0,120.0,43.0,9.0,9.0,328.0,152.0,670.0,12.0,32.0,28.0,22.0,37.0,78.0,542.0,12.0,72.0,87.0,35.0,59.0,140.0,67.0,37.0,23.0,4.0,43.0,23.0,47.0,17.0,25.0,6.0,7.0,402.0
1095.0,15786.0,12.0,203.0,190.0,28.0,23.0,42.0,148.0,813.0,47.0,437.0,14.0,910.0,56.0,1808.0,38.0,49.0,28.0,34.0,44.0,259.0,345.0,54.0,97.0,43.0,18.0,1007.0,93.0,4.0,72.0,142.0,17.0,62.0,256.0,115.0,310.0,29.0,8.0,129.0,166.0,862.0,44.0,17.0,133.0,20.0,33.0,533.0,332.0,45.0,7.0,42.0,472.0,26.0,294.0,90.0,34.0,44.0,97.0,272.0,278.0,14.0,70.0,870.0,48.0,200.0,119.0,640.0,224.0,121.0,77.0,59.0,29.0,16.0,79.0,56.0,33.0,84.0,187.0,423.0,32.0,80.0,13.0,514.0,24.0,22.0,11.0,65.0,27.0,535.0,11.0,24.0,36.0,297.0,232.0,30.0,107.0,17.0,482.0,78.0,1678.0,258.0,473.0,147.0,61.0,448.0,11.0,22.0,143.0,626.0,814.0,10.0,66.0,153.0,2021.0,1.0,121.0,311.0,69.0,25.0,3.0,201.0,1107.0,411.0,242.0,185.0,4702.0,99.0,152.0,59.0,84.0,68.0,20.0,396.0,522.0,157.0,146.0,51.0,398.0,39.0,142.0,36.0,77.0,49.0,89.0,267.0,17.0,7.0,468.0,27.0,812.0,206.0,280.0,147.0,78.0,22.0,22.0,183.0,318.0,175.0,254.0,965.0,42.0,24.0,93.0,14.0,232.0,73.0,188.0,539.0,79.0,120.0,24.0,1140.0,60.0,112.0,41.0,148.0,46.0,235.0,116.0,28.0,19.0,117.0,134.0,86.0,139.0,122.0,15.0,425.0,396.0,30.0,17.0,7.0,67.0,54.0,264.0,131.0,43.0,26.0,522.0,272.0,1363.0,6.0,103.0,26.0,124.0,119.0,132.0,640.0,54.0,127.0,89.0,29.0,72.0,156.0,183.0,156.0,86.0,6.0,82.0,30.0,63.0,23.0,34.0,38.0,68.0,1450.0
11.0,12.0,936.0,17.0,0.0,2.0,0.0,0.0,2.0,27.0,4.0,2.0,1.0,106.0,0.0,106.0,0.0,5.0,1.0,0.0,1.0,34.0,1.0,2.0,7.0,2.0,0.0,6.0,32.0,0.0,2.0,8.0,3.0,9.0,25.0,2.0,13.0,0.0,0.0,7.0,0.0,31.0,0.0,0.0,13.0,4.0,3.0,24.0,15.0,0.0,1.0,2.0,47.0,0.0,62.0,3.0,8.0,7.0,3.0,13.0,13.0,0.0,0.0,13.0,8.0,0.0,1.0,9.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,4.0,14.0,14.0,0.0,20.0,1.0,36.0,1.0,2.0,1.0,10.0,2.0,15.0,2.0,0.0,1.0,5.0,8.0,0.0,0.0,4.0,2.0,3.0,8.0,14.0,22.0,37.0,5.0,14.0,0.0,1.0,14.0,37.0,43.0,2.0,2.0,1.0,73.0,1.0,16.0,1.0,2.0,2.0,2.0,6.0,112.0,11.0,5.0,4.0,153.0,0.0,0.0,1.0,3.0,1.0,2.0,20.0,19.0,4.0,4.0,3.0,44.0,5.0,5.0,4.0,7.0,1.0,3.0,9.0,10.0,0.0,21.0,5.0,124.0,6.0,0.0,8.0,33.0,0.0,3.0,8.0,56.0,17.0,25.0,82.0,2.0,1.0,9.0,4.0,1.0,2.0,10.0,4.0,0.0,1.0,0.0,150.0,10.0,8.0,1.0,1.0,2.0,33.0,9.0,0.0,2.0,2.0,0.0,1.0,11.0,5.0,1.0,16.0,7.0,0.0,0.0,2.0,4.0,5.0,5.0,2.0,13.0,0.0,19.0,40.0,15.0,1.0,3.0,0.0,2.0,2.0,5.0,14.0,4.0,2.0,6.0,0.0,1.0,9.0,2.0,8.0,9.0,570.0,19.0,11.0,30.0,6.0,12.0,2.0,7.0,36.0
194.0,203.0,17.0,3632.0,24.0,12.0,8.0,8.0,26.0,258.0,4.0,50.0,4.0,173.0,14.0,396.0,3.0,3.0,25.0,7.0,5.0,86.0,29.0,29.0,22.0,2.0,5.0,253.0,42.0,2.0,7.0,22.0,3.0,24.0,129.0,21.0,152.0,29.0,4.0,41.0,21.0,294.0,9.0,7.0,45.0,8.0,7.0,125.0,88.0,7.0,1.0,12.0,118.0,6.0,59.0,18.0,7.0,4.0,38.0,58.0,59.0,8.0,9.0,134.0,9.0,34.0,28.0,45.0,27.0,10.0,15.0,23.0,4.0,14.0,11.0,6.0,7.0,16.0,71.0,69.0,7.0,13.0,5.0,207.0,2.0,5.0,11.0,25.0,23.0,147.0,7.0,6.0,9.0,34.0,23.0,3.0,20.0,7.0,37.0,10.0,110.0,46.0,129.0,86.0,25.0,99.0,11.0,3.0,22.0,234.0,264.0,6.0,8.0,7.0,510.0,14.0,20.0,17.0,20.0,8.0,10.0,14.0,157.0,69.0,41.0,70.0,501.0,10.0,6.0,5.0,10.0,4.0,3.0,146.0,115.0,19.0,47.0,56.0,126.0,8.0,16.0,20.0,28.0,6.0,27.0,7.0,9.0,8.0,139.0,4.0,255.0,89.0,39.0,57.0,23.0,1.0,6.0,35.0,48.0,47.0,54.0,99.0,4.0,14.0,58.0,7.0,14.0,9.0,35.0,26.0,3.0,28.0,11.0,300.0,49.0,33.0,7.0,14.0,13.0,74.0,21.0,20.0,6.0,5.0,3.0,20.0,13.0,65.0,8.0,121.0,64.0,6.0,7.0,2.0,9.0,31.0,34.0,18.0,6.0,4.0,137.0,48.0,387.0,4.0,14.0,3.0,11.0,22.0,27.0,112.0,14.0,11.0,26.0,7.0,17.0,57.0,23.0,22.0,18.0,8.0,15.0,8.0,20.0,2.0,7.0,1.0,1.0,124.0
141.0,190.0,0.0,24.0,2172.0,6.0,2.0,8.0,14.0,222.0,19.0,44.0,1.0,140.0,12.0,320.0,49.0,5.0,10.0,1.0,6.0,32.0,43.0,13.0,4.0,2.0,2.0,158.0,8.0,7.0,0.0,3.0,0.0,9.0,23.0,1.0,51.0,14.0,7.0,17.0,16.0,120.0,4.0,0.0,16.0,0.0,2.0,177.0,162.0,3.0,1.0,32.0,14.0,1.0,23.0,9.0,5.0,0.0,68.0,27.0,18.0,2.0,0.0,82.0,7.0,18.0,14.0,22.0,14.0,6.0,19.0,2.0,2.0,6.0,43.0,0.0,2.0,1.0,18.0,44.0,2.0,1.0,0.0,130.0,3.0,1.0,3.0,5.0,2.0,100.0,4.0,36.0,6.0,87.0,3.0,2.0,162.0,2.0,33.0,3.0,122.0,49.0,37.0,23.0,17.0,29.0,2.0,8.0,9.0,142.0,23.0,0.0,0.0,1.0,296.0,1.0,4.0,14.0,20.0,0.0,2.0,11.0,102.0,128.0,20.0,11.0,372.0,5.0,2.0,0.0,0.0,0.0,3.0,57.0,140.0,10.0,13.0,4.0,57.0,1.0,4.0,14.0,3.0,3.0,23.0,16.0,1.0,1.0,126.0,3.0,51.0,34.0,14.0,13.0,12.0,0.0,3.0,44.0,6.0,19.0,18.0,66.0,0.0,9.0,7.0,1.0,49.0,2.0,39.0,9.0,44.0,5.0,6.0,363.0,15.0,8.0,6.0,62.0,10.0,66.0,11.0,26.0,2.0,1.0,1.0,19.0,7.0,13.0,0.0,60.0,28.0,5.0,4.0,2.0,1.0,2.0,12.0,7.0,0.0,0.0,64.0,43.0,188.0,5.0,15.0,0.0,5.0,1.0,5.0,82.0,3.0,9.0,13.0,1.0,7.0,49.0,15.0,14.0,10.0,0.0,6.0,4.0,1.0,0.0,3.0,0.0,0.0,100.0
134.0,28.0,2.0,12.0,6.0,787.0,3.0,0.0,7.0,28.0,2.0,5.0,0.0,62.0,3.0,73.0,0.0,1.0,11.0,3.0,0.0,11.0,0.0,15.0,4.0,0.0,0.0,9.0,15.0,2.0,1.0,3.0,0.0,3.0,31.0,0.0,34.0,8.0,0.0,38.0,1.0,67.0,2.0,3.0,10.0,0.0,2.0,45.0,31.0,2.0,2.0,2.0,27.0,5.0,6.0,1.0,1.0,1.0,12.0,3.0,13.0,2.0,8.0,29.0,0.0,3.0,7.0,9.0,7.0,3.0,5.0,9.0,0.0,2.0,0.0,3.0,1.0,1.0,7.0,8.0,1.0,2.0,1.0,59.0,1.0,0.0,1.0,8.0,2.0,51.0,2.0,1.0,1.0,7.0,9.0,3.0,0.0,0.0,3.0,19.0,6.0,10.0,39.0,14.0,21.0,3.0,2.0,1.0,15.0,53.0,49.0,1.0,2.0,1.0,50.0,1.0,4.0,0.0,4.0,0.0,0.0,1.0,31.0,16.0,6.0,15.0,79.0,0.0,1.0,0.0,2.0,0.0,7.0,28.0,21.0,4.0,8.0,0.0,24.0,8.0,1.0,13.0,2.0,2.0,2.0,0.0,1.0,3.0,16.0,0.0,70.0,28.0,10.0,9.0,3.0,1.0,3.0,14.0,10.0,25.0,8.0,31.0,3.0,2.0,8.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,0.0,105.0,12.0,2.0,4.0,6.0,6.0,14.0,0.0,11.0,8.0,1.0,0.0,0.0,1.0,5.0,0.0,27.0,47.0,4.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,24.0,17.0,36.0,1.0,0.0,1.0,1.0,0.0,18.0,37.0,1.0,0.0,7.0,4.0,2.0,15.0,8.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0
23.0,23.0,0.0,8.0,2.0,3.0,299.0,0.0,0.0,4.0,2.0,1.0,1.0,18.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,6.0,0.0,0.0,2.0,13.0,2.0,2.0,2.0,0.0,0.0,15.0,2.0,26.0,5.0,0.0,9.0,0.0,28.0,0.0,1.0,4.0,0.0,1.0,12.0,8.0,3.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,8.0,2.0,2.0,5.0,0.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,16.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,8.0,11.0,4.0,19.0,17.0,0.0,7.0,0.0,0.0,6.0,37.0,34.0,4.0,0.0,6.0,57.0,0.0,1.0,4.0,1.0,5.0,0.0,3.0,5.0,5.0,10.0,9.0,47.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,5.0,3.0,3.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,27.0,6.0,10.0,20.0,1.0,0.0,1.0,2.0,8.0,79.0,1.0,19.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0,0.0,8.0,1.0,7.0,0.0,1.0,7.0,8.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,8.0,1.0,3.0,7.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,2.0,0.0,13.0,7.0,12.0,0.0,0.0,2.0,3.0,0.0,3.0,21.0,1.0,1.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,14.0
20.0,42.0,0.0,8.0,8.0,0.0,0.0,511.0,7.0,109.0,17.0,19.0,0.0,44.0,1.0,51.0,3.0,1.0,2.0,0.0,0.0,4.0,12.0,4.0,0.0,0.0,1.0,13.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,1.0,11.0,4.0,0.0,3.0,7.0,20.0,0.0,0.0,3.0,0.0,0.0,16.0,13.0,0.0,1.0,4.0,6.0,0.0,12.0,2.0,0.0,0.0,4.0,7.0,9.0,0.0,0.0,43.0,2.0,4.0,8.0,3.0,6.0,2.0,3.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,22.0,14.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,21.0,14.0,1.0,2.0,4.0,3.0,0.0,7.0,2.0,8.0,1.0,31.0,13.0,4.0,5.0,3.0,4.0,1.0,12.0,7.0,12.0,4.0,0.0,0.0,0.0,59.0,1.0,2.0,1.0,2.0,3.0,3.0,5.0,59.0,7.0,4.0,4.0,111.0,4.0,0.0,0.0,3.0,0.0,1.0,6.0,106.0,1.0,1.0,0.0,11.0,0.0,1.0,1.0,3.0,4.0,3.0,14.0,3.0,0.0,16.0,0.0,16.0,6.0,3.0,5.0,2.0,0.0,2.0,60.0,1.0,5.0,4.0,38.0,0.0,8.0,1.0,1.0,4.0,0.0,1.0,3.0,11.0,1.0,2.0,73.0,3.0,1.0,18.0,7.0,2.0,10.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,38.0,13.0,2.0,0.0,0.0,1.0,2.0,14.0,3.0,0.0,0.0,15.0,5.0,78.0,7.0,4.0,0.0,0.0,1.0,7.0,26.0,5.0,1.0,5.0,1.0,1.0,6.0,17.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,27.0
95.0,148.0,2.0,26.0,14.0,7.0,0.0,7.0,806.0,102.0,3.0,31.0,1.0,39.0,2.0,119.0,1.0,4.0,3.0,0.0,0.0,16.0,8.0,14.0,1.0,1.0,0.0,78.0,8.0,1.0,4.0,7.0,0.0,8.0,20.0,9.0,17.0,4.0,0.0,6.0,1.0,59.0,2.0,1.0,10.0,1.0,5.0,67.0,56.0,2.0,0.0,7.0,29.0,1.0,18.0,19.0,2.0,0.0,8.0,11.0,15.0,2.0,5.0,58.0,2.0,21.0,4.0,21.0,5.0,3.0,24.0,21.0,0.0,0.0,8.0,0.0,1.0,4.0,7.0,41.0,2.0,14.0,0.0,43.0,2.0,2.0,1.0,19.0,5.0,43.0,2.0,1.0,2.0,13.0,8.0,4.0,11.0,2.0,5.0,10.0,44.0,8.0,23.0,12.0,13.0,21.0,2.0,3.0,10.0,45.0,23.0,1.0,5.0,6.0,92.0,0.0,6.0,6.0,2.0,2.0,0.0,5.0,31.0,12.0,20.0,12.0,117.0,0.0,2.0,4.0,2.0,4.0,3.0,36.0,23.0,1.0,17.0,4.0,53.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,0.0,1.0,72.0,3.0,91.0,42.0,10.0,8.0,5.0,0.0,0.0,11.0,8.0,10.0,14.0,22.0,2.0,1.0,6.0,1.0,16.0,4.0,5.0,7.0,35.0,2.0,2.0,72.0,2.0,9.0,3.0,17.0,3.0,14.0,7.0,5.0,1.0,3.0,1.0,4.0,5.0,30.0,2.0,12.0,19.0,3.0,8.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,22.0,15.0,61.0,1.0,3.0,0.0,5.0,3.0,8.0,35.0,10.0,0.0,17.0,1.0,4.0,11.0,22.0,4.0,6.0,0.0,3.0,1.0,6.0,1.0,6.0,3.0,0.0,46.0
550.0,813.0,27.0,258.0,222.0,28.0,4.0,109.0,102.0,19546.0,125.0,514.0,9.0,1438.0,169.0,2372.0,186.0,30.0,140.0,34.0,16.0,222.0,224.0,153.0,35.0,6.0,34.0,216.0,114.0,21.0,10.0,45.0,3.0,57.0,384.0,116.0,352.0,96.0,50.0,118.0,82.0,881.0,17.0,29.0,141.0,23.0,13.0,324.0,241.0,14.0,43.0,76.0,312.0,6.0,142.0,131.0,27.0,10.0,438.0,234.0,160.0,11.0,4.0,1046.0,49.0,303.0,93.0,100.0,85.0,23.0,120.0,42.0,18.0,122.0,194.0,8.0,34.0,26.0,915.0,1605.0,10.0,15.0,15.0,894.0,75.0,24.0,54.0,47.0,66.0,474.0,100.0,40.0,62.0,526.0,186.0,24.0,207.0,78.0,219.0,27.0,595.0,243.0,235.0,288.0,213.0,269.0,190.0,312.0,54.0,737.0,391.0,3.0,0.0,4.0,1659.0,104.0,62.0,41.0,147.0,11.0,58.0,94.0,789.0,660.0,157.0,122.0,3085.0,34.0,23.0,27.0,31.0,6.0,48.0,355.0,2405.0,71.0,29.0,21.0,292.0,13.0,63.0,101.0,31.0,56.0,56.0,253.0,29.0,41.0,1603.0,10.0,690.0,194.0,57.0,244.0,152.0,15.0,18.0,505.0,133.0,128.0,321.0,714.0,27.0,9.0,102.0,18.0,65.0,5.0,178.0,97.0,9.0,82.0,67.0,2481.0,309.0,61.0,133.0,64.0,72.0,591.0,91.0,54.0,31.0,16.0,5.0,53.0,108.0,127.0,9.0,1304.0,197.0,21.0,633.0,8.0,4.0,30.0,263.0,65.0,2.0,15.0,580.0,220.0,3347.0,118.0,91.0,1.0,27.0,10.0,64.0,514.0,895.0,23.0,224.0,17.0,22.0,353.0,128.0,159.0,156.0,16.0,30.0,79.0,20.0,6.0,26.0,11.0,2.0,603.0
