action,activation,acuity,adaptation,addiction,agency,alveolar,analogy,anhedonia,anticipation,anxiety,appetite,arousal,association,attachment,attention,auditory perception,balance,behavioral inhibition (cognitive),belief,categorization,circadian rhythm,cognitive control,cognitive development,communication,competition,concept,consciousness,consolidation,context,context dependent,coordination,critical period,crosstalk,cueing,decision,decision making,declarative memory,desire,detection,discrimination,distraction,dyslexia,eating,efficiency,effort,emotion,emotion regulation,empathy,encoding,episodic memory,excitation,expectancy,expertise,extinction,face perception,face recognition,facial expression,familiarity,fatigue,fear,feature extraction,filtering,fixation,focus,forgetting,gaze,generalization,goal,hyperactivity,imagery,impulsivity,incubation,induction,inference,inhibition,insight,integration,intelligence,intention,interference,judgment,knowledge,language,language comprehension,language processing,learning,listening,localization,locomotion,logic,long term memory,loss,lying,maintenance,manipulation,meaning,memory,memory consolidation,memory retrieval,monitoring,mood,morphology,motor control,motor learning,movement,multisensory,multisensory integration,naming,navigation,neuroplasticity,nociception,object recognition,olfaction,pain,pattern recognition,perception,perceptual learning,planning,priming,problem solving,processing speed,prototype,psychosis,reading,reasoning,recall,recognition,reinforcement learning,reinstatement,resource,response inhibition,retention,retrieval,reward processing,rhythm,risk,routine,rule,salience,search,selective attention,semantic memory,semantic processing,short term memory,skill,sleep,social cognition,spatial attention,spatial memory,spatial working memory,speech perception,speech processing,speech production,strategy,strength,stress,syntax,task difficulty,theory of mind,thought,transduction,uncertainty,updating,utility,valence,visual acuity,visual attention,visual perception,visual search,visual working memory,word recognition,working memory
13455.0,2239.0,17.0,300.0,143.0,93.0,14.0,18.0,10.0,82.0,208.0,68.0,111.0,291.0,41.0,579.0,12.0,243.0,32.0,37.0,42.0,26.0,114.0,17.0,291.0,88.0,292.0,114.0,53.0,590.0,36.0,169.0,35.0,25.0,11.0,498.0,353.0,7.0,19.0,395.0,157.0,11.0,3.0,65.0,168.0,124.0,213.0,27.0,65.0,364.0,24.0,371.0,12.0,44.0,55.0,7.0,8.0,24.0,23.0,61.0,108.0,11.0,48.0,54.0,399.0,6.0,51.0,48.0,629.0,98.0,137.0,50.0,108.0,454.0,78.0,1346.0,238.0,505.0,32.0,151.0,161.0,60.0,586.0,311.0,39.0,45.0,1091.0,36.0,233.0,107.0,15.0,35.0,627.0,16.0,270.0,201.0,113.0,729.0,20.0,16.0,355.0,135.0,236.0,190.0,60.0,832.0,53.0,15.0,51.0,71.0,61.0,44.0,28.0,17.0,370.0,39.0,888.0,12.0,275.0,78.0,14.0,5.0,31.0,29.0,63.0,52.0,51.0,331.0,158.0,8.0,25.0,62.0,67.0,99.0,33.0,187.0,278.0,45.0,116.0,42.0,150.0,23.0,25.0,28.0,28.0,59.0,142.0,111.0,28.0,22.0,15.0,36.0,9.0,22.0,263.0,292.0,489.0,19.0,13.0,44.0,492.0,213.0,70.0,68.0,145.0,42.0,8.0,29.0,55.0,15.0,1.0,5.0,137.0
2239.0,28839.0,35.0,475.0,356.0,45.0,21.0,25.0,61.0,332.0,800.0,114.0,514.0,1173.0,115.0,1804.0,36.0,526.0,107.0,77.0,159.0,26.0,552.0,33.0,456.0,185.0,430.0,130.0,183.0,1361.0,98.0,320.0,61.0,80.0,56.0,820.0,525.0,46.0,68.0,894.0,445.0,78.0,83.0,191.0,404.0,313.0,1169.0,261.0,175.0,1068.0,232.0,475.0,67.0,79.0,159.0,68.0,87.0,92.0,146.0,210.0,630.0,21.0,69.0,151.0,676.0,34.0,118.0,108.0,734.0,306.0,360.0,139.0,116.0,1393.0,118.0,3081.0,509.0,894.0,126.0,94.0,457.0,231.0,965.0,1026.0,80.0,203.0,2012.0,190.0,567.0,310.0,47.0,182.0,1583.0,44.0,862.0,406.0,272.0,3141.0,83.0,212.0,465.0,360.0,343.0,333.0,115.0,1214.0,98.0,31.0,186.0,83.0,123.0,89.0,102.0,66.0,1027.0,50.0,1508.0,29.0,263.0,291.0,73.0,35.0,41.0,132.0,485.0,159.0,260.0,1093.0,65.0,63.0,91.0,287.0,159.0,719.0,245.0,271.0,1118.0,44.0,185.0,272.0,366.0,120.0,120.0,210.0,126.0,159.0,435.0,230.0,116.0,71.0,95.0,99.0,59.0,92.0,696.0,796.0,1712.0,48.0,115.0,161.0,953.0,482.0,137.0,85.0,189.0,312.0,16.0,108.0,119.0,64.0,62.0,92.0,993.0
17.0,35.0,843.0,41.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,19.0,3.0,35.0,4.0,10.0,0.0,0.0,2.0,0.0,2.0,3.0,9.0,3.0,5.0,2.0,1.0,16.0,2.0,5.0,25.0,1.0,1.0,18.0,6.0,0.0,0.0,101.0,122.0,0.0,1.0,0.0,20.0,3.0,0.0,0.0,1.0,26.0,0.0,9.0,2.0,3.0,1.0,1.0,5.0,0.0,0.0,3.0,3.0,1.0,10.0,32.0,22.0,0.0,20.0,4.0,14.0,2.0,5.0,0.0,1.0,5.0,1.0,23.0,7.0,34.0,13.0,0.0,16.0,2.0,28.0,12.0,0.0,1.0,69.0,5.0,34.0,2.0,2.0,0.0,144.0,0.0,9.0,3.0,5.0,21.0,0.0,1.0,17.0,1.0,11.0,1.0,3.0,32.0,8.0,3.0,2.0,1.0,4.0,0.0,8.0,7.0,10.0,8.0,117.0,36.0,7.0,0.0,1.0,2.0,1.0,1.0,21.0,2.0,3.0,37.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,3.0,26.0,6.0,5.0,2.0,12.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,1.0,0.0,12.0,5.0,2.0,18.0,12.0,7.0,0.0,1.0,0.0,15.0,9.0,5.0,1.0,9.0,0.0,444.0,7.0,21.0,5.0,1.0,2.0,2.0
300.0,475.0,41.0,4413.0,40.0,2.0,0.0,6.0,1.0,25.0,61.0,7.0,25.0,80.0,8.0,207.0,5.0,98.0,11.0,7.0,30.0,5.0,64.0,7.0,83.0,36.0,64.0,30.0,30.0,259.0,19.0,78.0,11.0,6.0,1.0,93.0,68.0,8.0,3.0,219.0,138.0,9.0,5.0,15.0,83.0,52.0,83.0,14.0,8.0,190.0,12.0,72.0,7.0,13.0,12.0,45.0,23.0,27.0,17.0,54.0,34.0,10.0,44.0,55.0,125.0,10.0,61.0,65.0,146.0,18.0,24.0,7.0,3.0,64.0,32.0,216.0,74.0,190.0,22.0,9.0,59.0,14.0,159.0,88.0,7.0,8.0,683.0,24.0,74.0,88.0,12.0,16.0,155.0,6.0,81.0,43.0,31.0,317.0,13.0,4.0,80.0,22.0,55.0,82.0,124.0,334.0,22.0,9.0,11.0,22.0,36.0,5.0,22.0,25.0,51.0,29.0,484.0,20.0,49.0,43.0,6.0,7.0,21.0,7.0,30.0,10.0,25.0,160.0,39.0,3.0,18.0,14.0,41.0,25.0,6.0,41.0,72.0,12.0,71.0,29.0,68.0,10.0,4.0,3.0,13.0,58.0,50.0,11.0,8.0,10.0,11.0,23.0,10.0,8.0,126.0,227.0,234.0,2.0,8.0,10.0,162.0,58.0,32.0,27.0,31.0,15.0,22.0,11.0,43.0,3.0,1.0,3.0,59.0
143.0,356.0,0.0,40.0,1851.0,6.0,0.0,1.0,9.0,42.0,129.0,17.0,36.0,106.0,12.0,158.0,0.0,28.0,12.0,8.0,0.0,2.0,62.0,0.0,10.0,1.0,34.0,8.0,17.0,107.0,8.0,10.0,1.0,4.0,1.0,148.0,141.0,2.0,28.0,23.0,17.0,3.0,0.0,82.0,13.0,18.0,56.0,7.0,4.0,47.0,6.0,10.0,3.0,2.0,80.0,1.0,0.0,1.0,1.0,2.0,30.0,0.0,3.0,2.0,125.0,1.0,2.0,4.0,111.0,68.0,11.0,117.0,6.0,62.0,5.0,114.0,66.0,34.0,9.0,4.0,15.0,4.0,109.0,11.0,0.0,0.0,296.0,1.0,13.0,23.0,2.0,6.0,117.0,2.0,91.0,23.0,5.0,205.0,8.0,3.0,36.0,47.0,13.0,8.0,3.0,23.0,2.0,0.0,0.0,2.0,35.0,6.0,1.0,1.0,56.0,3.0,24.0,0.0,13.0,19.0,2.0,2.0,1.0,20.0,3.0,4.0,11.0,24.0,19.0,58.0,4.0,33.0,4.0,14.0,73.0,7.0,195.0,2.0,4.0,73.0,35.0,4.0,0.0,0.0,0.0,3.0,21.0,7.0,2.0,7.0,1.0,1.0,0.0,0.0,37.0,44.0,196.0,0.0,2.0,0.0,98.0,14.0,8.0,11.0,37.0,14.0,0.0,5.0,2.0,2.0,0.0,0.0,28.0
93.0,45.0,0.0,2.0,6.0,316.0,0.0,1.0,0.0,2.0,5.0,1.0,2.0,11.0,2.0,21.0,0.0,1.0,0.0,11.0,0.0,0.0,3.0,0.0,8.0,1.0,18.0,29.0,2.0,19.0,2.0,2.0,0.0,0.0,0.0,17.0,14.0,0.0,1.0,21.0,3.0,0.0,0.0,2.0,1.0,4.0,12.0,1.0,8.0,6.0,2.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,18.0,1.0,7.0,0.0,0.0,2.0,7.0,5.0,11.0,24.0,3.0,11.0,1.0,9.0,28.0,10.0,0.0,0.0,18.0,1.0,1.0,2.0,1.0,0.0,10.0,0.0,4.0,8.0,6.0,20.0,1.0,2.0,22.0,0.0,3.0,8.0,0.0,28.0,7.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,1.0,41.0,0.0,11.0,5.0,0.0,0.0,1.0,4.0,3.0,7.0,0.0,13.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,19.0,2.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,12.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,3.0,3.0,0.0,0.0,10.0,16.0,1.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14.0,21.0,1.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,9.0,0.0,14.0,2.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,11.0,1.0,1.0,1.0,30.0,2.0,6.0,0.0,1.0,9.0,1.0,0.0,10.0,0.0,10.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,17.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,19.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,8.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,25.0,2.0,6.0,1.0,1.0,0.0,284.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,11.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,14.0,2.0,7.0,5.0,2.0,18.0,4.0,2.0,0.0,1.0,1.0,8.0,4.0,0.0,0.0,13.0,8.0,0.0,0.0,2.0,5.0,2.0,3.0,1.0,0.0,13.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,14.0,0.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0,4.0,5.0,15.0,8.0,13.0,6.0,0.0,3.0,3.0,11.0,7.0,0.0,0.0,37.0,1.0,7.0,3.0,2.0,1.0,8.0,1.0,5.0,1.0,3.0,28.0,1.0,2.0,4.0,1.0,3.0,5.0,1.0,16.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,15.0,15.0,2.0,1.0,3.0,3.0,0.0,2.0,1.0,2.0,22.0,3.0,21.0,2.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,5.0,1.0,10.0,1.0,7.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0,5.0,0.0,1.0,1.0,8.0,1.0,3.0,2.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,6.0
10.0,61.0,0.0,1.0,9.0,0.0,0.0,0.0,256.0,24.0,35.0,3.0,6.0,29.0,0.0,13.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,4.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,3.0,6.0,5.0,0.0,0.0,5.0,1.0,11.0,27.0,6.0,4.0,7.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,3.0,0.0,6.0,0.0,6.0,1.0,12.0,4.0,7.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,31.0,0.0,1.0,1.0,0.0,1.0,35.0,0.0,5.0,4.0,1.0,16.0,1.0,0.0,3.0,34.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,6.0,11.0,1.0,0.0,1.0,1.0,2.0,44.0,2.0,32.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,49.0,0.0,0.0,2.0,7.0,2.0,1.0,2.0,4.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
82.0,332.0,1.0,25.0,42.0,2.0,0.0,1.0,24.0,849.0,82.0,2.0,35.0,52.0,3.0,109.0,0.0,8.0,2.0,5.0,1.0,3.0,27.0,3.0,8.0,2.0,6.0,4.0,3.0,67.0,4.0,7.0,0.0,0.0,3.0,72.0,62.0,4.0,4.0,32.0,24.0,4.0,1.0,16.0,11.0,17.0,61.0,18.0,2.0,40.0,7.0,2.0,18.0,8.0,8.0,0.0,0.0,2.0,1.0,3.0,41.0,1.0,4.0,8.0,29.0,0.0,8.0,2.0,41.0,25.0,8.0,30.0,0.0,6.0,10.0,39.0,12.0,25.0,6.0,6.0,8.0,8.0,25.0,8.0,2.0,3.0,111.0,5.0,5.0,6.0,0.0,11.0,85.0,0.0,23.0,13.0,9.0,81.0,2.0,0.0,23.0,32.0,0.0,13.0,2.0,44.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,72.0,0.0,81.0,2.0,22.0,8.0,2.0,2.0,1.0,8.0,5.0,3.0,6.0,15.0,9.0,2.0,2.0,10.0,4.0,5.0,127.0,17.0,96.0,0.0,4.0,29.0,11.0,7.0,0.0,1.0,6.0,8.0,13.0,6.0,10.0,1.0,2.0,2.0,4.0,2.0,11.0,11.0,33.0,0.0,2.0,5.0,34.0,3.0,21.0,6.0,7.0,39.0,0.0,5.0,5.0,2.0,1.0,0.0,21.0
