learning,0.257,memory,0.201,activation,0.114,activation,0.110
search,0.228,risk,0.131,learning,0.071,detection,0.068
action,0.218,attention,0.108,memory,0.065,memory,0.060
language,0.185,learning,0.104,loss,0.054,risk,0.059
logic,0.151,association,0.081,action,0.053,attention,0.052
knowledge,0.128,anxiety,0.066,inhibition,0.052,monitoring,0.048
concept,0.126,stress,0.059,attention,0.044,sleep,0.043
memory,0.122,loss,0.054,risk,0.041,association,0.041
context,0.116,activation,0.053,perception,0.038,movement,0.036
decision,0.098,knowledge,0.052,detection,0.037,loss,0.034
attention,0.091,language,0.051,knowledge,0.036,action,0.031
reasoning,0.081,context,0.046,association,0.034,learning,0.030
judgment,0.081,working memory,0.044,context,0.034,perception,0.029
focus,0.079,focus,0.040,stress,0.033,inhibition,0.029
lying,0.074,perception,0.040,movement,0.032,knowledge,0.028
inference,0.072,recognition,0.039,recognition,0.032,focus,0.027
perception,0.072,mood,0.038,induction,0.030,localization,0.027
meaning,0.071,action,0.034,integration,0.029,context,0.027
movement,0.060,pain,0.033,encoding,0.028,recognition,0.026
goal,0.059,sleep,0.032,thought,0.026,language,0.025
