action,activation,acuity,adaptation,addiction,agency,alveolar,anticipation,anxiety,appetite,arousal,association,attachment,attention,attentional resources,balance,behavioral inhibition (cognitive),belief,categorization,cognitive control,cognitive development,communication,competition,concept,consciousness,consolidation,context,coordination,cueing,decision,decision making,declarative memory,desire,detection,discrimination,distraction,dyslexia,eating,efficiency,effort,emotion,emotion regulation,empathy,encoding,episodic memory,excitation,expectancy,expertise,extinction,face perception,face recognition,facial expression,familiarity,fatigue,fear,feature extraction,filtering,fixation,focus,gaze,generalization,goal,happiness,hyperactivity,imagery,imagination,impulsivity,incubation,induction,inference,inhibition,insight,integration,intelligence,intention,interference,judgment,knowledge,language,language comprehension,language processing,learning,listening,localization,locomotion,long term memory,loss,lying,maintenance,manipulation,meaning,memory,memory consolidation,memory retrieval,mental imagery,monitoring,mood,morphology,motor control,motor learning,movement,multisensory,naming,navigation,neuroplasticity,nociception,object recognition,olfaction,pain,pattern recognition,perception,performance monitoring,phonological processing,planning,priming,problem solving,processing speed,prototype,psychosis,reading,reasoning,recall,recognition,reinforcement learning,resource,response inhibition,response selection,retention,retrieval,reward processing,rhythm,rigidity,risk,routine,rule,salience,search,selective attention,semantic information,semantic memory,semantic processing,sentence comprehension,short term memory,skill,sleep,social cognition,spatial attention,spatial working memory,speech perception,speech processing,speech production,strategy,strength,stress,sustained attention,syntax,task difficulty,task switching,theory of mind,thought,trait anxiety,transduction,uncertainty,updating,utility,valence,verbal fluency,verbal memory,visual acuity,visual attention,visual perception,visual search,visual working memory,word recognition,working memory
8265.0,1662.0,6.0,136.0,68.0,68.0,29.0,78.0,140.0,12.0,181.0,232.0,5.0,465.0,13.0,84.0,17.0,24.0,25.0,131.0,6.0,137.0,55.0,129.0,95.0,29.0,347.0,91.0,13.0,269.0,180.0,7.0,7.0,347.0,110.0,14.0,1.0,24.0,105.0,82.0,164.0,24.0,42.0,185.0,22.0,219.0,20.0,37.0,26.0,6.0,6.0,16.0,35.0,29.0,52.0,10.0,42.0,37.0,239.0,29.0,28.0,412.0,9.0,85.0,141.0,28.0,24.0,34.0,187.0,37.0,788.0,117.0,266.0,15.0,141.0,98.0,50.0,327.0,262.0,47.0,49.0,448.0,47.0,130.0,36.0,19.0,279.0,10.0,117.0,119.0,110.0,450.0,9.0,17.0,22.0,458.0,115.0,64.0,113.0,28.0,701.0,34.0,50.0,28.0,29.0,33.0,28.0,8.0,268.0,9.0,578.0,37.0,4.0,249.0,63.0,8.0,6.0,8.0,38.0,72.0,22.0,31.0,220.0,57.0,14.0,66.0,46.0,45.0,99.0,33.0,275.0,25.0,198.0,57.0,69.0,42.0,92.0,36.0,29.0,22.0,51.0,11.0,11.0,38.0,394.0,75.0,23.0,8.0,15.0,10.0,34.0,101.0,127.0,150.0,12.0,10.0,18.0,18.0,45.0,291.0,6.0,52.0,35.0,40.0,83.0,61.0,6.0,11.0,3.0,24.0,37.0,9.0,2.0,8.0,132.0
1662.0,29052.0,68.0,383.0,293.0,49.0,30.0,397.0,761.0,68.0,749.0,1542.0,67.0,2595.0,80.0,255.0,111.0,75.0,220.0,646.0,41.0,346.0,175.0,418.0,236.0,134.0,1306.0,200.0,74.0,967.0,524.0,88.0,86.0,1445.0,695.0,97.0,165.0,178.0,433.0,372.0,1358.0,266.0,180.0,1324.0,457.0,341.0,109.0,97.0,131.0,97.0,129.0,114.0,210.0,129.0,493.0,24.0,132.0,272.0,782.0,114.0,86.0,805.0,82.0,400.0,573.0,92.0,168.0,62.0,446.0,197.0,1865.0,407.0,950.0,138.0,127.0,500.0,318.0,991.0,2016.0,139.0,376.0,1614.0,406.0,982.0,108.0,156.0,898.0,62.0,529.0,374.0,399.0,4049.0,58.0,298.0,149.0,961.0,445.0,169.0,361.0,135.0,1885.0,163.0,339.0,131.0,108.0,103.0,135.0,80.0,1247.0,51.0,1995.0,48.0,172.0,535.0,394.0,95.0,61.0,32.0,202.0,888.0,202.0,383.0,1505.0,48.0,74.0,345.0,110.0,163.0,1064.0,269.0,387.0,30.0,1150.0,160.0,171.0,294.0,435.0,202.0,117.0,186.0,384.0,111.0,139.0,211.0,999.0,244.0,176.0,123.0,156.0,104.0,148.0,528.0,615.0,788.0,125.0,69.0,202.0,115.0,193.0,893.0,74.0,132.0,159.0,100.0,297.0,415.0,195.0,125.0,33.0,149.0,166.0,85.0,74.0,196.0,1611.0
6.0,68.0,480.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,23.0,0.0,34.0,0.0,7.0,0.0,1.0,0.0,2.0,2.0,5.0,0.0,4.0,6.0,1.0,10.0,3.0,0.0,4.0,1.0,0.0,0.0,30.0,32.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,15.0,9.0,5.0,1.0,10.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,8.0,3.0,11.0,5.0,1.0,1.0,3.0,10.0,7.0,0.0,1.0,17.0,5.0,11.0,0.0,1.0,107.0,0.0,1.0,1.0,2.0,16.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,17.0,4.0,3.0,1.0,5.0,0.0,2.0,6.0,15.0,0.0,56.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,12.0,0.0,5.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,29.0,6.0,4.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,4.0,0.0,4.0,1.0,0.0,7.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,332.0,3.0,7.0,4.0,1.0,0.0,3.0
136.0,383.0,8.0,2370.0,7.0,3.0,1.0,20.0,44.0,1.0,35.0,72.0,4.0,175.0,3.0,43.0,8.0,1.0,23.0,70.0,3.0,34.0,7.0,34.0,20.0,14.0,130.0,16.0,4.0,52.0,34.0,1.0,1.0,165.0,87.0,6.0,4.0,8.0,79.0,27.0,50.0,11.0,3.0,90.0,9.0,22.0,10.0,11.0,5.0,33.0,20.0,8.0,14.0,33.0,16.0,12.0,15.0,25.0,66.0,12.0,11.0,74.0,3.0,11.0,32.0,6.0,3.0,4.0,28.0,20.0,98.0,32.0,97.0,6.0,9.0,32.0,8.0,69.0,74.0,5.0,9.0,245.0,25.0,47.0,15.0,4.0,76.0,1.0,35.0,28.0,26.0,156.0,7.0,3.0,4.0,122.0,22.0,13.0,21.0,32.0,169.0,13.0,8.0,13.0,20.0,4.0,17.0,11.0,35.0,10.0,238.0,19.0,8.0,48.0,39.0,5.0,5.0,13.0,9.0,32.0,7.0,11.0,110.0,21.0,6.0,13.0,5.0,15.0,17.0,5.0,49.0,2.0,63.0,25.0,19.0,17.0,22.0,14.0,3.0,6.0,7.0,4.0,5.0,20.0,185.0,11.0,6.0,7.0,15.0,8.0,13.0,51.0,70.0,106.0,3.0,4.0,15.0,7.0,4.0,57.0,3.0,9.0,9.0,16.0,20.0,21.0,4.0,3.0,4.0,10.0,18.0,1.0,1.0,2.0,34.0
68.0,293.0,0.0,7.0,1261.0,2.0,0.0,38.0,84.0,7.0,26.0,97.0,6.0,137.0,6.0,14.0,13.0,4.0,0.0,69.0,0.0,9.0,7.0,22.0,7.0,2.0,53.0,6.0,1.0,90.0,86.0,1.0,26.0,14.0,12.0,5.0,1.0,42.0,14.0,12.0,51.0,11.0,2.0,18.0,5.0,3.0,4.0,0.0,11.0,1.0,0.0,0.0,1.0,2.0,8.0,1.0,1.0,3.0,59.0,2.0,3.0,64.0,2.0,43.0,8.0,2.0,97.0,2.0,11.0,3.0,109.0,44.0,23.0,5.0,4.0,11.0,1.0,57.0,11.0,0.0,1.0,112.0,2.0,5.0,2.0,0.0,73.0,3.0,52.0,7.0,3.0,114.0,1.0,2.0,3.0,41.0,38.0,3.0,5.0,0.0,38.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,41.0,2.0,20.0,7.0,0.0,8.0,4.0,2.0,2.0,1.0,12.0,2.0,2.0,7.0,15.0,13.0,4.0,40.0,0.0,5.0,3.0,63.0,4.0,0.0,140.0,2.0,5.0,65.0,32.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,6.0,1.0,1.0,1.0,0.0,0.0,25.0,27.0,65.0,0.0,0.0,2.0,1.0,0.0,45.0,1.0,5.0,4.0,4.0,23.0,12.0,2.0,1.0,0.0,7.0,2.0,1.0,1.0,0.0,28.0
68.0,49.0,0.0,3.0,2.0,314.0,0.0,3.0,5.0,0.0,4.0,16.0,0.0,17.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,6.0,0.0,10.0,16.0,0.0,16.0,0.0,0.0,22.0,10.0,1.0,2.0,31.0,2.0,0.0,0.0,1.0,2.0,3.0,10.0,1.0,7.0,1.0,2.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,12.0,1.0,1.0,15.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,6.0,4.0,10.0,14.0,2.0,10.0,0.0,7.0,18.0,13.0,1.0,1.0,13.0,0.0,4.0,0.0,0.0,14.0,0.0,1.0,5.0,2.0,19.0,0.0,2.0,1.0,32.0,3.0,0.0,6.0,0.0,25.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,31.0,0.0,0.0,9.0,6.0,1.0,0.0,1.0,3.0,5.0,5.0,0.0,11.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,25.0,8.0,3.0,3.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,7.0,0.0,0.0,0.0,1.0,10.0,14.0,1.0,0.0,2.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
29.0,30.0,0.0,1.0,0.0,0.0,424.0,1.0,2.0,1.0,9.0,13.0,0.0,6.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,26.0,2.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,20.0,1.0,8.0,2.0,1.0,4.0,0.0,0.0,0.0,27.0,0.0,4.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,19.0,10.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78.0,397.0,1.0,20.0,38.0,3.0,1.0,993.0,99.0,3.0,37.0,70.0,0.0,153.0,4.0,5.0,3.0,6.0,0.0,41.0,3.0,10.0,4.0,6.0,3.0,4.0,81.0,7.0,8.0,80.0,69.0,3.0,4.0,47.0,25.0,9.0,2.0,11.0,15.0,18.0,55.0,17.0,4.0,47.0,8.0,2.0,30.0,6.0,4.0,1.0,0.0,4.0,6.0,6.0,39.0,1.0,8.0,7.0,29.0,6.0,4.0,41.0,1.0,30.0,6.0,1.0,32.0,0.0,9.0,8.0,42.0,13.0,31.0,4.0,7.0,15.0,10.0,24.0,15.0,2.0,7.0,89.0,8.0,13.0,3.0,11.0,77.0,2.0,20.0,20.0,10.0,91.0,3.0,5.0,3.0,39.0,38.0,1.0,9.0,2.0,49.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,109.0,0.0,93.0,2.0,1.0,18.0,9.0,2.0,1.0,1.0,9.0,9.0,3.0,11.0,22.0,13.0,3.0,13.0,4.0,3.0,17.0,140.0,12.0,0.0,97.0,3.0,7.0,30.0,18.0,6.0,2.0,3.0,6.0,2.0,2.0,3.0,18.0,10.0,17.0,2.0,3.0,3.0,2.0,10.0,17.0,44.0,2.0,0.0,5.0,5.0,4.0,31.0,13.0,0.0,27.0,5.0,12.0,57.0,2.0,1.0,0.0,12.0,1.0,5.0,2.0,1.0,28.0
140.0,761.0,2.0,44.0,84.0,5.0,2.0,99.0,3748.0,23.0,186.0,283.0,37.0,481.0,14.0,39.0,23.0,3.0,9.0,78.0,3.0,54.0,17.0,38.0,33.0,17.0,203.0,21.0,4.0,70.0,52.0,1.0,6.0,93.0,47.0,14.0,5.0,69.0,60.0,35.0,509.0,138.0,18.0,39.0,14.0,9.0,25.0,1.0,85.0,14.0,8.0,27.0,3.0,72.0,500.0,0.0,5.0,15.0,135.0,15.0,25.0,101.0,19.0,118.0,31.0,4.0,36.0,0.0,63.0,3.0,204.0,62.0,69.0,33.0,10.0,48.0,8.0,137.0,46.0,0.0,2.0,208.0,24.0,35.0,8.0,7.0,127.0,3.0,82.0,35.0,20.0,326.0,7.0,5.0,6.0,149.0,454.0,20.0,6.0,4.0,104.0,3.0,8.0,4.0,18.0,5.0,7.0,8.0,275.0,4.0,174.0,14.0,0.0,30.0,17.0,5.0,9.0,0.0,60.0,11.0,16.0,46.0,83.0,5.0,10.0,20.0,2.0,15.0,24.0,25.0,57.0,9.0,388.0,37.0,12.0,72.0,86.0,21.0,0.0,3.0,8.0,0.0,8.0,6.0,276.0,32.0,4.0,4.0,0.0,0.0,4.0,74.0,44.0,549.0,23.0,0.0,7.0,0.0,16.0,121.0,296.0,2.0,34.0,3.0,42.0,89.0,14.0,13.0,0.0,5.0,3.0,3.0,2.0,0.0,85.0
12.0,68.0,0.0,1.0,7.0,0.0,1.0,3.0,23.0,355.0,9.0,14.0,0.0,19.0,0.0,15.0,0.0,0.0,0.0,8.0,0.0,2.0,3.0,3.0,2.0,0.0,5.0,0.0,0.0,6.0,6.0,0.0,7.0,4.0,0.0,0.0,0.0,63.0,6.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,8.0,1.0,2.0,2.0,0.0,3.0,1.0,4.0,0.0,16.0,9.0,9.0,0.0,1.0,2.0,0.0,7.0,1.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,110.0,1.0,9.0,3.0,1.0,16.0,0.0,0.0,0.0,6.0,23.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,33.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,3.0,1.0,23.0,5.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
