Year,Title,Abstract,Authors,Affiliations,URL
2016,"Active learning: Cognitive development, education, and computational models","In this workshop, we invite speakers from a variety of approaches to broadly inform our understanding of active learning, including cognitive development, education, and computational modeling. We examine what “active” means in active learning, and present talks on the cognitive mechanisms that might support active learning, including attention, hypothesis-generation, explanation, pretend play, and question asking. We also explore how efficient learners are when planning and executing actions in the service of learning, and whether there are developmental or socioeconomic differences in active learning. We integrate the problem of active learning with teaching to investigate the similarities and differences involved in selecting evidence for oneself and others. Throughout we ask how we can capture these processes with computational models that spell out the underlying assumptions and potential algorithms.",>Elizabeth Bonawitz>Fei Xu,">Rutgers University - Newark>University of California, Berkeley",https://mindmodeling.org/cogsci2016/papers/0001/index.html
2016,Learning to Talk about Events: Grounding Language Acquisition in Intuitive Theories and Event Cognition,"Language is a powerful tool for moving thoughts from the mind of one person to another. Thus, any theory of language must make contact with theories of thought and conceptual representation. Any theory of language acquisition must explain how children link words to concepts, whether those concepts were pre-existing or created during the process of language acquisition. Conversely, theories of conceptual representation are constrained by the need to support language and language acquisition. Indeed, there is a rich tradition of cognitive science research that explicitly tackles these issues.",>Eva Wittenberg>Melissa Kline>Joshua Hartshorne,>UC San Diego>Harvard University>Boston College,https://mindmodeling.org/cogsci2016/papers/0002/index.html
2016,Proposal of the Second Workshop on Physical and Social Scene Understanding,"Computer vision has made significant progress in locating and recognizing objects in real images. However, beyond the scope of this “what is where” challenge, it lacks the abilities to understand scenes characterizing human visual experience. The mission of this workshop is to (a) identify the key domains in which human visual perception and cognition outperform computer vision; (b) formalize the computational challenges in these domains; and (c) provide promising frameworks for solving these challenges by conducting cognitive science and computer vision studies.",>Tao Gao>Chenfanfu Jiang>Yixin Zhu>Yibiao Zhao>Lap-Fai (craig) Yu,">MIT>University of California, Los Angeles, Los Angeles, CA, United States>UCLA, Los Angeles, CA, United States>MIT>University of Massachusetts Boston",https://mindmodeling.org/cogsci2016/papers/0003/index.html
2016,Tutorial Workshop on Contemporary Deep Neural Network Models,"Neural network models were exploited in the late 80’s and 90’s to model human cognition, based on developments such as the back propagation learning algorithm. Over the last 10 years, massive data sets, enhanced computational resources, and new developments in algorithms have led to explosive growth in use of such models in machine learning and artificial intelligence. We propose a workshop to bring the tools, methods, and insights from this research into contemporary cognitive science and cognitive neuroscience.",>James L. McClelland>Steven S. Hansen>Andrew Saxe,>Stanford University>Stanford University>Harvard University,https://mindmodeling.org/cogsci2016/papers/0004/index.html
2016,"Workshop on Corpus Collection, (Semi)-Automated Analysis, and Modeling of Large-Scale Naturalistic Language Acquisition Data","The main goal of this full-day workshop is to bring together researchers from several distinct fields: behavioral psychologists studying language acquisition, speech technology researchers, linguists, and computational modelers of cognitive development. These groups are broadly interested in the same questions, i.e. what is the nature of speech and language, and how might a system learn to process it in supervised or unsupervised ways? Since the groups interested in these questions work on different analysis levels, cross-pollination has been sparse.",>Elika Bergelson,>University of Rochester,https://mindmodeling.org/cogsci2016/papers/0005/index.html
2016,"Interactive spatiotemporal cognition: Data, theories, architectures, and autonomy","Everyday interactions often depend on reasoning about space and time: collaborators need to know where events take place – and in what order – to, e.g., communicate driving directions, build pieces of furniture, or carry out strategic operations in military and sports settings (Núñez & Cooperrider, 2013). A simple set of driving directions may require a listener to interpret and reason about the spatial relations – such as next to and behind – and the temporal relations – such as after and during – that a speaker describes. The speaker may also use gestures to substitute, supplement, or disambiguate linguistic descriptions (Holle & Gunter, 2007; Perzanowski, Schultz, & Williams, 1998). Such rapid, rich, and productive interactions are transient and difficult to analyze behaviorally, and so they pose a challenge for experimenters.",>Sangeet Khemlani>Greg Trafton,">Naval Research Laboratory, Washington, DC, USA>Naval Research Laboratory",https://mindmodeling.org/cogsci2016/papers/0006/index.html
2016,Full Day Tutorial on Quantum Models of Cognition and Decision,"This tutorial is an exposition of a rapidly growing new alternative approach to building computational models of cognition based on quantum theory. The cognitive revolution that occurred in the 1960’s was based on classical computational logic, and the connectionist/neural network movements of the 1970’s were based on classical dynamical systems. These classical assumptions remain at the heart of both cognitive architecture and neural network theories, and they are so commonly and widely applied that we take them for granted. Quantum theory provides a different approach to logic, reasoning, probabilistic inference, and dynamical systems. For example, quantum logic does not follow the distributive axiom of Boolean logic; quantum probabilities do not obey the disjunctive axiom of Kolmogorov probability; quantum reasoning does not obey the principle of monotonic reasoning. It turns out that humans do not obey these restrictions either, which is why we consider a quantum approach.",>Jennifer Trueblood>James Yearsley>Peter Kvam>Zheng Wang>Jerome Busemeyer,">Vanderbilt University, Nashville, Tennessee, USA>Vanderbilt University, Nashville, Tennessee, USA>Michigan State University, East Lansing, MI, United States>The Ohio State University, Columbus, OH, U.S.>Indiana University",https://mindmodeling.org/cogsci2016/papers/0007/index.html
2016,Wallace: Automating Cultural Evolution Experiments Through Crowdsourcing,"The experimental study of cultural evolution, social learning, cooperation, and collective decision-making asks fundamental questions about our capacities to learn, decide, and communicate in a world that is shared with other people. Experimental studies of cultural evolution have revealed a wealth of findings, including how structured forms of communication emerge from individual learning and decision-making (Verhoef, Kirby, & Padden, 2011; Claidière, Smith, Kirby, & Fagot, 2014), the inductive biases underlying human decision making (Griffiths et al., 2008), how innovations accumulate in populations to produce technologies that go beyond what any one individual could create (Caldwell, & Millen, 2008; Derex & Boyd, 2015), and how the mode of communication affects transmission and acquisition of new skills (Morgan et al., 2015).",>Jordan W. Suchow>Thomas J. H. Morgan>Jessica B. Hamrick>Michael D. Pacer>Stephan C. Meylan>Thomas L. Griffiths,>UC Berkeley>UC Berkeley>UC Berkeley>UC Berkeley>UC Berkeley>UC Berkeley,https://mindmodeling.org/cogsci2016/papers/0008/index.html
2016,Analysing discourse relations in natural language: The case of space and time,"Discourse relations are links between utterances and sentences or sentence parts. These can be implicit or explicit through markers such as because, before, but, etc. Thus, the causal discourse relation between the two clauses that is explicit in 'He fell because he stumbled over a stone' can be inferred in the sentence 'He stumbled over a stone and fell'. Much research in this field focuses on the range of ways in which these connections can be established and inferred by the recipient (or analyst). However, the use of such markers in discourse also shows how a speaker conceptualizes the relationships between various aspects of what they are saying. Whenever they occur in discourse, they are therefore reflections of the speakers' mind in this respect.",>Thora Tenbrink,">Bangor University, Bangor, United Kingdom",https://mindmodeling.org/cogsci2016/papers/0009/index.html
2016,Cognitive models of transfer of cognitive skills,"If you learn mathematics in school, but then proceed to become a lawyer, will you have any benefit from mathematics, for example in terms of abstract reasoning? Very little is know about the cognitive mechanisms behind such transfer of knowledge, and most psychological theories assume that very little transfer exists (Singley & Anderson, 1989, Thorndike & Woodworth, 1901). Nevertheless it is undisputable that many of our cognitive skills build upon each other, and have benefits beyond just the skill itself. Moreover, the new controversial industry of Brain Training games has emerged where spectacular improvements on various cognitive measures is promised, even though empirical evidence for such improvements is rather weak (Chein & Morrison, 2010, Jaeggi et al, 2008, Karbach & Kray, 2009, Owen et al., 2010).",>Niels Taatgen,>University of Groningen,https://mindmodeling.org/cogsci2016/papers/0010/index.html
2016,Tutorial: Meta-Analytic Methods for Cognitive Science,"Meta-analysis is a powerful yet underused tool in cognitive science. It allows researchers to leverage entire bodies of literature to get a broad and quantitative overview of a particular phenomenon, thereby promoting theory development, and to make more precise estimates of effect sizes, which enables robust planning of prospective studies (e.g. through power-analyses). In this tutorial, we will introduce meta-analysis as a tool with which to inform everyday research, and provide participants with hands-on experience conducting their own meta-analysis. We will also present an online platform we have developed for conducting meta-analyses in the field of language development: MetaLab (http://metalab.stanford.edu).",>Sho Tsuji>Molly Lewis>Christina Bergmann>Mike Frank>Alejandrina Cristia,">Ecole Normale Supérieure, Paris, France>Stanford University, Stanford , California, USA>Ecole Normale Supérieure, Paris, France>Stanford University,  Stanford , California, USA>Ecole Normale Supérieure, Paris, France",https://mindmodeling.org/cogsci2016/papers/0011/index.html
2016,Empirical and Computational Approaches to Metaphor and Figurative Meaning,"One of the hallmarks of human intelligence is the ability to go beyond literal meanings of utterances to infer speakers' intended meanings, a feat that remains elusive to the most advanced artificial systems. Figurative language such as metaphor, in particular, provides a striking case where complex meanings arise that cannot be derived from the literal semantics alone. For example, ""My lawyer is a shark"" is a literally false sentence, yet communicates relevant features of the lawyer in question (e.g. ""ruthless,"" but not ""swims"").",>Justine Kao>Noah Goodman,>Stanford University>Stanford University,https://mindmodeling.org/cogsci2016/papers/0012/index.html
2016,Comics and cognitive systems: The processing of visual narratives,"Humans have drawn sequential images as a means of expression throughout history, from cave paintings and frescoes to wall-carvings and tapestries (McCloud, 1993). In contemporary society, we find them most prevalently in comics of the world, and over the past two decades, increasing attention has turned to this communicative system in the cognitive sciences.",>Neil Cohn>Emily Coderre>L.n. Kendall>Joe Magliano,">Tilburg University, Tilburg, Netherlands>Johns Hopkins University>University of British Columbia>Northern Illinois University",https://mindmodeling.org/cogsci2016/papers/0013/index.html
2016,Effecting re-representation: revising false beliefs and fostering creativity,"Perhaps the greatest challenge to successful learning and problem solving is when learners initially represent the novel problem or concept in a way that conflicts with the proper solution or content to be learned. For example, naïve conceptions of force often lead to failure to show any learning gains from lessons on Newton’s laws of motion (e.g., Muller, Sharma, & Reiman, 2008), and knowledge of typical functions prevent using familiar artefacts in novel ways to solve otherwise simple problems (Adamson, 1952). Further, rampant society-wide misconceptions, such as the belief that vaccines cause autism, or deny the causal role of humans in global warming, are having disastrous effects on public health and environmental policy. On the flip side, overcoming the constraints of an initial representation can spark creative innovation. For example, the Dyson vacuum cleaner is famously based on the re-conception of the vacuum mechanism via an analogy to saw mills.",>Micah Goldwater>Zachary Horne>Jeffrey Loewenstein>Robert Goldstone,">University of Sydney, NSW Australia>University of Illinois at Urbana-Champaign, Urbana, IL, United States of America>University of Illinois at Urbana-Champaign, Urbana, IL, United States of America>Indiana University, Bloomington IA, USA",https://mindmodeling.org/cogsci2016/papers/0014/index.html
2016,The Emergence of Conventions,"Much of our everyday behavior is governed by conventions. The shape of the line we form at the cafe, the language we use to order our coffee, and the money we use to pay for it are all partly arbitrary but self-sustaining solutions to recurring coordination problems. This definition, first formalized by David Lewis (1969), has provided a potent means of characterizing conventions. For cognitive scientists, however, the outstanding question is how these solutions emerge and adapt in populations of learning, reasoning agents. The aim of this symposium is to gather and integrate several distinct empirical and theoretical perspectives on this question, bridging different domains of application.",>Robert Hawkins>Noah Goodman>Olga Feher>Kenny Smith>Robert Goldstone>Tom Griffiths,">Stanford University>Stanford University>University of Edinburgh>University of Edinburgh>Indiana University>University of California, Berkeley",https://mindmodeling.org/cogsci2016/papers/0015/index.html
