Title,Abstract
Long-range inhibition mediates decision making in the superior colliculus,"Decision making is a fundamental process of the nervous system for generating goal-directed behaviors. The midbrain superior colliculus (SC) contributes to sensorimotor decision making by integrating cortical and subcortical inputs to guide orienting movements of the eyes, head, and body towards spatial goals. The SC is topographically organized and encodes for specific regions in retinotopic space, however the underlying circuitry for how the SC selects where to orient is unknown. Multiple models of excitatory/inhibitory interactions have been proposed to describe SC function, but these are based on cellular anatomy, ex-vivo slice physiology, and in-vivo recordings in the absence of behavior, or on recordings during behavior from unknown cell types. Here, we record and manipulate the activity of GABAergic neurons in mice performing a spatial choice task to determine the functional role of inhibition during spatial choice. We trained mice to select a left or right reward port based on a binary odor mixture. Importantly, after odor delivery, mice wait for a “go tone” before orienting to the reward port, giving us access to neural activity during the decision (i.e., the “choice epoch”). We hypothesized that GABAergic neurons would shape spatial choice locally by inhibiting SC motor output neurons promoting contralateral choice, and therefore predicted that these cells would be most active before an ipsilateral choice. However, optogenetic identification (i.e., “optotagging”) and activation of channelrhodopsin-expressing GABAergic neurons revealed that GABAergic neurons are active before contralateral choices and driving their activity during the “choice epoch” biases mice to select the contralateral port. A biologically restricted attractor model recapitulated our behavioral results and supports a role for long-range inhibitory interactions between the left and right SC. Our work has revealed a neural mechanism for how the SC implements spatial choice."
OFC to auditory cortex projection modulates task state updating during flexible sensorimotor decisions,"To survive in a dynamic environment, animals need to make sensory-motor decisions
adaptively in different scenarios. A key component in flexible decision-making
is the evaluation of decisions based on changing outcomes, which is proposed to
be dependent on the orbitofrontal cortex (OFC). A prominent feature of OFC is
its widespread projections to many brain regions, including different sensory
cortices. How such broadcast valuation signals may influence the dynamics of
sensory-motor decisions remains unclear. Here we investigate the OFC to
auditory cortex (ACx) top-down projection when mice are performing a flexible
decision task, remapping stimulus-action associations according to changing
choice outcomes. The animals’ behavior can be described using a Bayesian
inference model, suggesting a strategy based on optimal inference of hidden
states. Combining optogenetics with <i>in vivo</i> two-photon imaging, we show
that ACx neurons encode the probability of current state and state-related
choice information, which were disrupted by optogenetic inactivation of OFC-ACx
projection. Imaging of OFC-ACx axons showed that OFC transmitted choice and
outcome information to ACx. Consistently, inactivation of the OFC-ACx
projection using chemogenetics impaired behavioral flexibility for
stimulus-action remapping without influencing sensory discrimination. Together,
our data support that OFC-ACx top-down projection plays a critical role in updating
the prior knowledge of task states that is critical for the flexibility of
sensory-motor decision-making."
Manipulating synthetic optogenetic odors reveals the coding logic of olfactory perception,"How does neural activity generate perception? The spatial identities and temporal latencies of activated units correlate with external sensory features, but finding the subspace of activity that is consequential for perception, remains challenging. We trained mice to recognize synthetic odors: optogenetically-driven spatiotemporal patterns of glomerular activity in the olfactory bulb.  We then performed precise spatial or temporal perturbations on trained patterns and measured how recognition changes. Changes in recognition reflect the perceptual relevance of the modified feature (or groupings of features). We modeled recognition as the matching of glomerular activity to learned templates, and uncovered what forms a perceptually-meaningful pattern template: activation sequences ordered by latencies relative to each other, with surprisingly minimal effect of sniff. Within templates, spatially-identified glomeruli contribute additively, with larger contributions from earlier-activated glomeruli.  Template matching with these perceptually-meaningful features can account for animals’ responses, with the degree of mismatch predicting changes in recognition. The model accurately generalizes to novel spatio-temporal manipulations of patterns, and produces non-linear responses that resemble the non-linear responses in the data. This is the first report to our knowledge, that not only establishes a causal role for neural activity sequences in perception, but also uncovers the perceptually-relevant coding schemes governing these sequences. Hence, by performing precise and parametric manipulation of glomerular activity and quantifying effects under a common metric, we derived a unifying model that explains how odor perception arises from structured glomerular activation. Our synthetic approach reveals the fundamental logic of the olfactory code, and provides a general framework for testing links between sensory activity and perception."
Identical encoding of flexible and automatic motor sequences in the dorsal lateral striatum,"To achieve specific goals, our motor system must quickly learn new movements, flexibly reorganize existing ones, and consolidate repeated motor sequences. Consider the feats of a concert pianist. After extensive training, the pianist can flexibly perform any number of sonatas or etudes when provided with sheet music. But to prepare for a concert, she extensively practices a single piece, making it automatic, effortless, and robust to mistakes. Although both the flexible and automatic performances can be kinematically similar, it is generally believed that they are controlled by different neural circuits (Ashby et al., 2010).In particular, flexible and automatic movements are thought to be differentiated in the dorsal lateral striatum (DLS), an essential node of the motor system and a major input to the basal ganglia. However, the specific mechanisms, as well as how these mechanisms generalize across flexible and automatic movements, remain poorly understood. One popular hypothesis is that the DLS dedicates specific circuitry to represent a well-trained sequence, forming what’s called a motor chunk, and reducing cognitive load (Graybiel, 1998). In an alternative hypothesis, the striatum encodes features relevant to the ongoing movement, independent of sequence learning (Desmurget and Turner, 2010). To arbitrate between these hypotheses, we recorded from populations of single neurons in the DLS while rats performed the same movement sequence both in a flexible and automatic context.In contrast to the generally accepted view that DLS differentiates flexible and automatic movements, we found that neural representation of similar movement kinematics was invariant to the context (i.e. automatic or flexible). Further characterization of the encoding scheme in the DLS suggested that units primarily represent the single motor elements, and not any sequence specific or ordinal position information. These results are consistent with a low-level kinematic role of DLS independent of automaticity, cognitive load, or behavioral flexibility."
A map for odors and place in posterior piriform cortex,"Animals rely on olfaction for a wide range of natural behaviors. To support behaviors such as foraging and navigation, the brain must integrate odor information with an internal model of the spatial environment to produce flexible behavior. In order to understand neural circuits underlying the integration of sensory and spatial information, we designed an odor-cued spatial choice task for freely-moving rats, where rats use odor information for allocentric navigation. The highly recurrent and plastic nature of primary olfactory (piriform) cortex (PCx), together with abundant connections with higher order structures, make PCx an excellent site to investigate interactions between sensory information and associational or cognitive processes. We recorded from posterior PCx (pPCx) in rats with stable task performances (n=995 neurons, 3 rats, 44 sessions). We found that individual pPCx neurons were not only odor-selective, but also fired differentially to the same odor sampled at different locations, forming an “odor-place map”. Spatial locations could be successfully decoded from simultaneously recorded pPCx population. Strikingly, we found that location representation in pPCx did not depend on direct sensory drive and was maintained across behavioral contexts. Using simultaneous recordings in hippocampus (HPC) and coherence analysis of pPCx spike times and HPC local field potentials (LFPs), we found that HPC projections preferentially drive those pPCx neurons with higher spatial selectivity. Together, our results reveal an associative odor-place map in pPCx that is well-suited to guide olfactory navigation, and challenge the conventional view of how spatial information is represented in the brain. A cognitive map of space in primary sensory cortex allows incoming sensory evidence to directly update an internal model, and could be critical for a wide range of spatial behaviors where seamless and dynamic integration of sensory information and cognitive maps are critical."
Neural mechanism for illusory motion perception from stationary patterns,"Visual motion detection is one of the most important computations performed by visual circuits in the brain. Yet, we perceive vivid illusory motion in periodic, stationary luminance gradients, such as the Fraser-Wilcox illusion. This illusion is shared by diverse vertebrate species, likely reflecting common motion detection algorithms. The theories proposed to explain this illusion have remained difficult to test. Here, we demonstrate that the fruit fly Drosophila, like humans and other vertebrates, perceives illusory motion in periodic, stationary luminance gradients. This illusory motion percept was abolished by genetic silencing of the earliest motion detectors in the fly brain, T4 and T5 neurons. In vivo calcium imaging revealed that T4 and T5 neurons encode the sharp edges of the stationary luminance gradients, as well as those of other stationary patterns, in a complementary, contrast-specific manner. A simple model for motion perception allowed us to predictably manipulate the illusory percept by selectively silencing either T4 or T5 neurons, thus creating flies with either a stronger or reversed illusory motion percept. These results show that, in flies, the illusion arises from responses of direction-selective neurons to sharp, stationary edges, which are imperfectly cancelled by downstream subtractive mechanisms that processes light and dark signals asymmetrically. We further demonstrate that, in humans, selective adaptation of the visual system to moving light or dark edges differently affects the illusory motion percept, paralleling the results of silencing of T4 or T5 in flies. Overall, our results suggest that the illusory motion is a manifestation of a set of convergent strategies of motion estimation across phyla."
Nonlinear computations in semi-balanced networks,"An approximate balance between excitation and inhibition is widely observed in cortical recordings. How does this balance shape neural computations and stimulus representations? This question is often approached using computational models of neuronal networks that realize a dynamically stable balanced state. These “balanced network models” predict a linear relationship between stimuli and population responses in contrast to the nonlinearity of cortical computations. In addition, we show that every balanced network architecture admits some stimuli that break the classical balanced state. We find that these breaks in balance push the network into a “semi-balanced state” characterized by excess inhibition to some neurons, but an absence of excess excitation.We develop a theory of semi-balanced networks, showing that the corresponding semi-balanced state is unavoidable in networks driven by multiple stimuli and is more consistent with recorded data. Stimulus representations in semi-balanced networks are nonlinear and have a direct, mathematical relationship to artificial neural networks with rectified linear activations. This relationship allows us to construct and train biologically realistic, semi-balanced spiking neural networks that implement nonlinear functions, such as the XOR function, and classify hand-written digits.In summary, the strong and dense coupling of cortical circuits combined with the presence of time-varying stimuli imply that cortical circuits are in a semi-balanced state. Our analysis of this state shows a direct correspondence to artificial neural networks and therefore has extensive implications for the computational properties of cortical circuits."
Spontaneous activity and multi-sensory integration in the developing higher-order cortex,"In the developing rodent brain, the primary visual (V1) and somatosensory (S1) cortices exhibit patterns of spontaneous activity even before the onset of sensory experience. Multiple studies provide evidence towards a general developmental profile of spontaneous activity: early global and dense spontaneous events transition to more localized and sparse patterns typical of adult networks. Interestingly, before eye-opening spontaneous events in S1 are sparser than their counterparts in V1, implying an earlier maturation of S1 relative to V1. The spontaneous activity in V1 and S1 propagates to higher cortical areas, and one important common target is the rostrolateral area (RL). Area RL integrates multi-sensory inputs (visual and tactile), and more than 60% of its neurons are bimodal. Furthermore, the visual and tactile maps are topographically aligned in RL. Spontaneous activity is known to instruct various aspects of organization in the developing brain. Here we explore the hypothesis that the combined activity of V1 and S1 contains instructive cues for the correct refinement of connections in RL.We combined a detailed analysis of in vivo wide-field recordings of spontaneous activity in the V1- S1-RL region and a computational model to investigate (1) the emergence of bimodal RL neurons and (2) the role of more mature S1 events in the topographic alignment of the visual-tactile map in RL. We found that bimodal RL neurons develop when a critical amount of correlation exists between events in V1 and S1. By simulating a scenario where S1-RL connectivity is initialized with a topographical bias while V1-RL is randomly connected, we found that events in S1 can ""teach"" the topography to V1-RL connections more effectively when S1 events are sparser. Examining in vivo spontaneous activity, we found that the correlation between events from V1 and S1 is sufficiently high to instruct the alignment of their maps."
A map of object space in primate inferotemporal cortex,"How is the representation of complex visual objects organized in inferotemporal (IT) cortex, the brain region responsible for object recognition? Areas selective for a few categories such as faces, bodies, and scenes have been found, but large parts of IT lack any known specialization, leading to uncertainty over whether any general principle governs IT organization. Here, we used fMRI, microstimulation, electrophysiology, and deep networks to investigate the organization of macaque IT. We built a low dimensional object space to describe general objects using a deep network. Responses of IT cells to a large set of objects revealed that single IT cells are projecting incoming objects onto specific axes of this space. Remarkably, cells were anatomically clustered into four networks according to the first two components of their preferred axes, forming a map of object space. This map was repeated across three hierarchical stages of increasing view invariance, and cells comprising these maps collectively harbored sufficient coding capacity to reconstruct arbitrary objects. These results provide a unified picture of IT organization in which category-selective regions are part of a coarse map of object space."
Separation of preparatory neural states when learning multiple arm-movement dynamics,"The ability to learn new motor skills without interfering with old ones is essential for us to acquire and maintain a broad motor repertoire. Recent psychophysics studies found that when people plan for or imagine different movements associated with different curl fields, they can learn multiple skills without interference that would otherwise hurt learning (Sheahan et al. 2016 and 2019). Here we ask when learning multiple motor skills, are preparatory neural states of these skills separated to form different motor plans and subsequently reduce interference between neural dynamics that generate distinct movements?We designed a curl force field task to investigate the neural correlate of learning multiple motor skills (here, arm-movement dynamics). We trained two rhesus macaques to learn different curl fields sequentially within the same session or over multiple sessions (block design of the task is similar to Sun et al. 2019 COSYNE abstract). We recorded neural activity in dorsal premotor and primary motor cortex using Utah-arrays, V-probes, and Neuropixels probes which gave us access to hundreds of neurons per curl field condition. We applied PCA to preparatory activity and examined the subspace spanned by the top 10 PCs that captured over 90% of the total variance. We sought response patterns most strongly present in the data and asked whether the separation of preparatory states appeared in the most prominent neural activity features.We found that after learning one curl field applied to only one reach target, preparatory neural states of reaching to all targets uniformly shifted away from the before-learning states. Preparatory states of learning different curl fields were separated by multiple uniform shifts that showed distinct geometrical relationships depending on curl field types. The uniform shifts raise the possibility that interference between neural dynamics of learning multiple motor skills is reduced by having separated preparatory neural states."
