Keywords
"[motor systems] sensorimotor integration,[techniques] optogenetics,[cognition] decision-making,[circuit] midbrain"
"[computational/modeling] probabilistic/Bayesian,[cortex] auditory,[cortex] orbitofrontal,[techniques] imaging population"
"[sensory systems] perception,[techniques] optogenetics"
"[behavior] motor task,[motor systems] striatum/basal ganglia"
"[behavior] navigation,[cortex] piriform,[techniques] electrophysiology"
"[sensory systems] vision,[techniques] imaging cellular"
"[computational/modeling] neural response modeling,[computational/modeling] spiking models,[computational/modeling] deep networks,[computational/modeling] recurrent neural networks"
"[sensory systems] multisensory,[learning/plasticity] rule learning,[learning/plasticity] cellular/synaptic,[cortex] visual"
"[cognition] object/scene recognition,[cortex] visual,[computational/modeling] deep networks"
"[behavior] motor task,[cortex] motor,[neural coding/decoding] dimensionality reduction,[techniques] electrophysiology"
"[computational/modeling] spiking models,[circuit] feedforward/recurrent,[computational/modeling] recurrent neural networks,[neural coding/decoding] dimensionality reduction"
"[learning/plasticity] cellular/synaptic,[cognition] memory,[circuit] hippocampus,[circuit] inhibitory interneurons"
"[learning/plasticity] other,[cortex] motor,[neural coding/decoding] dimensionality reduction,[techniques] electrophysiology"
"[sensory systems] multisensory,[neural coding/decoding] population coding,[cognition] decision-making,[behavior] go-no/go"
"[behavior] navigation,[computational/modeling] recurrent neural networks"
"[cognition] decision-making,[cognition] categorization,[cortex] LIP,[computational/modeling] recurrent neural networks"
"[sensory systems] vision,[neural coding/decoding] information theory,[circuit] feedforward/recurrent,[techniques] electrophysiology"
"[computational/modeling] unsupervised learning,[circuit] hippocampus,[neural coding/decoding] dimensionality reduction"
"[learning/plasticity] reinforcement learning,[cortex] prefrontal"
"[computational/modeling] unsupervised learning,[computational/modeling] representational learning,[computational/modeling] normative modeling,[computational/modeling] deep networks"
"[neural coding/decoding] population coding,[circuit] feedforward/recurrent,[neural coding/decoding] dimensionality reduction,[techniques] multi-electrode array"
"[learning/plasticity] perceptual learning,[cortex] piriform,[sensory systems] natural stimulus statistics,[techniques] electrophysiology"
"[neural coding/decoding] population coding,[computational/modeling] recurrent neural networks,[motor systems] cortex,[techniques] multi-electrode array"
"[neural coding/decoding] oscillations,[disease] brain damage,[computational/modeling] spiking models,[cognition] other"
"[computational/modeling] neural response modeling,[behavior] motor task,[techniques] electrophysiology"
"[sensory systems] vision,[motor systems] sensorimotor integration,[behavior] social,[computational/modeling] deep networks"
