,P(NAS)_Bio,P(NAS)_Psy,Psych,Neu/Bio,Ling,CS,Anthro,Phil,Others,CogSciS,CogSci,,,,
"Adelson, Edward",,1,,,,3,,,,,,,,,
"Bear, Mark",4,,,1,,,,,,,,,,,
"Bizzi, Emilio",,2,,2,,,,,,,,,,,
"Boyden, Ed",1,,,2,,,,,1,,,,,,
"Brown, Emery",2,,,5,,,,,3,,,,,,
"Choi, Gloria",,,,,,,,,,,,,,,
"Chung, Kwanghun",2,,,2,,,,,2,1,,,,,
"Constantine-Paton, Martha",1,,,3,,,,,,,,,,,
"Desimone, Robert",2,,,3,,,,,,,,,,,
"DiCarlo, James",3,1,,12,,2,,,,,,,,,
"Fee, Michale",2,,,2,,,,,,,,,,,
"Feng, Guoping",1,,,3,,,,,,,,,,,
"Flavell, Steven",1,,,4,,,,,,,,,,,
"Gabrieli, John",,,,4,,,,,,,,,,,
"Gibson, Ted",,,1,,,,,,,3,,,,,
"Graybiel, Ann",2,,,2,,,,,,,,,,,
"Harnett, Mark",3,,,2,,,,,,,,,,,
"Heiman, Myriam",8,,,10,,,,,,,,,,,
"Hein, Alan",,,,3,,,,,,,,,,,
"Held, Richard",,,,,,,,,4,,,,,,
"Hockfield, Susan",,,,2,,,,,2,,,,,,
"Hogan, Neville",,,,3,,,,,1,,,,,,
"Horvitz, H. Robert",,,,2,,,,,2,,,,,,
"Jasanoff, Alan",2,,,2,,,,,2,,,,,,
"Jazayeri, Mehrdad",,,,4,,,,,,,,,,,
"Kanwisher, Nancy",,,,3,,,,,1,,,,,,
"Levy, Roger",,,1,,5,,,,,1,2,,,,
"Lin, Yingxi",1,,,2,,,,,,,,,,,
"Littleton, Troy",,,,3,,,,,1,,,,,,
"McDermott, Josh",,2,,4,,,,,,,,,,,
"Miller, Earl",1,,,2,,,,,1,,,,,,
"Nedivi, Elly",2,,,4,,,,,2,,,,,,
"Poggio, Tomaso",,,1,,2,1,,,,,,,,,
"Potter, Mary",,,4,,,,,,,,,,,,
"Prelec, Drazen",,,,2,,,,,2,,,,,,
"Quinn, William",2,,,1,,,,,,,,,,,
"Rokers, Bas",,,9,4,,,,,,,,,,,
"Rosasco, Lorenzo",,,,,,,,,,,,,,,
"Saxe, Rebecca",,1,,4,,,,,,,,,,,
"Schiller, Peter",,,1,3,,,,,,,,,,,
"Schneider, Gerald",1,,,,,,,,2,,,,,,
"Schulz, Laura",,2,,,,,,,,1,,,,,
"Sinha, Pawan",,2,1,,,,,,1,,,,,,
"Slotine, Jean-Jacques",1,,,1,,2,,,,,,,,,
"Sur, Mriganka",5,,,3,,,,,,,,,,,
"Tenenbaum, Joshua",,,,,,,,,,,,,,,
"Tonegawa, Susumu",,,,,,,,,,,,,,,
"Tsai, Li-Huei",,,,,,,,,,,,,,,
"Tye, Kay",,,,,,,,,,,,,,,
"Ullman, Shimon",,,,,,,,,,,,,,,
"Wexler, Ken",,,,,,,,,,,,,,,
"Wilson, Matt",,,,,,,,,,,,,,,
"Wurtman, Richard",,,,,,,,,,,,,,,
"Xu, Weifeng",,,,,,,,,,,,,,,
"Zhang, Feng",,,,,,,,,,,,,,,
