abductive reasoning,3
abstract analogy,0
abstract knowledge,43
acoustic coding,3
acoustic encoding,0
acoustic phonetic processing,1
acoustic processing,19
action,15045
action initiation,21
action perception,186
activation,20249
activation level,62
active maintenance,85
active recall,6
active retrieval,15
acuity,1405
adaptation,13497
adaptive control,107
addiction,4125
affect perception,68
affect recognition,189
agency,1483
agreeableness,211
altruism,313
altruistic motivation,3
alveolar,89
amodal representation,7
analog representation,3
analogical encoding,1
analogical inference,4
analogical problem solving,6
analogical reasoning,126
analogical transfer,13
analogy,365
anchoring,194
anhedonia,609
animacy decision,2
animacy perception,11
anticipation,1355
antisocial personality,711
anxiety,24797
apparent motion,103
apperception,107
appetite,1429
appetitive motivation,23
arithmetic processing,45
arousal,6398
articulation,608
articulatory loop,8
articulatory planning,8
articulatory rehearsal,24
assimilation,184
association,29279
association learning,1876
associative priming,32
attachment,1703
attended channel,4
attended stimulus,35
attention,47671
attention capacity,41
attention shift,52
attention shifting,82
attention span,205
attentional bias,699
attentional blink,268
attentional effort,26
attentional focusing,29
attentional resources,634
attentional state,69
attitude,8729
audiovisual perception,9
audition,266
auditory arithmetic processing,0
auditory attention,260
auditory coding,4
auditory encoding,18
auditory feedback,127
auditory grouping,9
auditory imagery,42
auditory learning,48
auditory lexical access,2
auditory localization,30
auditory masking,6
auditory memory,191
auditory perception,3716
auditory recognition,35
auditory scene,86
auditory scene analysis,56
auditory sentence comprehension,28
auditory sentence recognition,0
auditory stream segregation,17
auditory tone detection,0
auditory tone discrimination,3
auditory tone perception,0
auditory word comprehension,9
auditory word recognition,27
auditory working memory,110
autobiographical memory,657
autobiographical recall,33
automaticity,415
autonoesis,3
availability heuristic,14
aversive learning,69
backward chaining,2
balance,5413
behavioral inhibition,293
behavioral inhibition (cognitive),0
behavioral inhibition (temperament),0
belief,2407
binocular convergence,3
binocular depth cue,0
binocular disparity,79
binocular rivalry,135
binocular vision,293
bitterness,13
blindsight,89
body maintenance,1
body orientation,46
body representation,124
border ownership,8
capacity limitation,22
case based reasoning,10
categorical clustering,4
categorical knowledge,16
categorical perception,105
categorization,2054
category based induction,28
category learning,263
causal inference,95
central attention,16
central coherence,178
central executive,407
centration,7
change blindness,57
chemonociception,0
chromatic contrast,11
chunk,81
chunking,118
circadian rhythm,1626
cognitive control,4680
cognitive development,5311
cognitive dissonance,951
cognitive effort,451
cognitive heuristic,14
cognitive load,1373
cognitive map,371
cognitive training,1473
color constancy,17
color perception,1685
color recognition,7
communication,13124
competition,1597
concept,15460
concept learning,76
conceptual category,17
conceptual coherence,8
conceptual metaphor,20
conceptual planning,3
conceptual priming,49
conceptual skill,1
conceptualization,1074
conditional reasoning,59
conduct disorder,542
cone of confusion,2
confidence judgment,10
conflict adaptation effect,33
conflict detection,100
conjunction search,54
connotation,56
consciousness,4484
consolidation,1796
constancy,180
constituent structure,15
context,16813
context dependent,480
context memory,39
context representation,11
contextual knowledge,9
contingency learning,63
contrastive stress,4
conventionality,20
convergent thinking,35
conversation,587
conversational skill,0
conversational speech,26
conversational structure,2
coordination,3240
coproduction,0
coreference,11
covert attention,101
creative cognition,89
creative problem solving,42
creative thinking,128
critical period,461
crossmodal,247
crosstalk,161
crowding,162
crystallized intelligence,126
cue dependent forgetting,0
cue validity,55
cueing,717
curiosity,144
dative shift,2
decay of activation,1
deception,520
decision,14406
decision certainty,4
decision making,10943
decision uncertainty,11
decision under uncertainty,3
declarative knowledge,72
declarative memory,754
declarative rule,0
deductive inference,11
deductive reasoning,115
deep processing,16
deep structure,15
defensive aggression,4
defiance,18
deliberation,158
delusion,439
depth cue,15
depth perception,512
desire,1093
detection,10194
difference threshold,2
diphthong,2
discourse,880
discourse comprehension,60
discourse knowledge,0
discourse planning,4
discourse processing,45
discourse production,29
discrimination,10156
dispositions,230
distraction,1376
distributed coding,7
divergent thinking,180
divided attention,716
domain specificity,122
dream,369
Dyslexia,1899
eating,4834
echoic memory,18
echolocation,52
economic value processing,0
edge detection,11
efficiency,4710
effort,3920
effort valuation,0
effortful processing,83
egocentric,567
elaborative processing,30
elaborative rehearsal,5
embodied cognition,623
emotion,9759
emotion perception,304
emotion recognition,908
emotion regulation,1620
emotional bonding,3
emotional decision making,37
emotional enhancement,20
emotional expression,357
emotional face recognition,25
emotional intelligence,470
emotional memory,287
emotional mimicry,3
emotional reappraisal,3
emotional self-evaluation,1
emotional suppression,25
empathy,2278
encoding,5690
episodic buffer,28
episodic learning,38
episodic memory,4119
error detection,238
error signal,65
error trapping,0
excitation,781
exogenous attention,41
expectancy,1974
expertise,1730
explicit knowledge,121
explicit learning,91
explicit memory,405
externalizing,782
extinction,1148
extrinsic motivation,27
face maintenance,0
face perception,502
face recognition,807
facial age recognition,0
facial attractiveness recognition,0
facial expression,2726
facial happiness recognition,0
facial recognition,355
facial trustworthiness recognition,0
false memory,154
familiarity,1631
fatigue,6042
fear,6301
feature comparison,3
feature detection,32
feature extraction,127
feature integration,77
feature search,43
feature-based attention,63
feedback processing,118
figure ground reversal,4
figure ground segregation,32
filtering,558
fixation,2537
fixed action patterns,4
fluid intelligence,485
focus,13686
focused attention,465
forgetting,726
form perception,1754
framing,317
frustration,427
functional fixedness,6
gaze,1740
generalization,1685
generic knowledge,12
gestalt,417
Gestalt grouping,22
global precedence,40
goal,9627
goal formation,2
goal maintenance,44
goal management,40
goal selection,16
goal state,17
grammatical encoding,11
grapheme,188
graphemic buffer,23
grief,417
guilt,636
gustation processing,0
gustatory learning,1
gustatory memory,0
gustatory perception,3
habit,580
habit learning,66
habit memory,26
hallucination,334
happiness,920
hedonism,11
heuristic search,3
high energy density food recognition,0
hill climbing,5
humiliation,26
humor,271
hyperactivity,6648
iconic memory,44
illocutionary force,3
imageability,107
imagery,2243
imagination,2107
implicit knowledge,90
implicit learning,371
implicit memory,397
imprinting,200
impulsivity,2222
Inappropriate speech,4
inattention,897
inattentional blindness,62
incidental learning,108
incubation,234
indignation,11
induction,3591
inductive reasoning,160
inference,1734
inhibition,12484
inhibition of return,145
insight,5184
instinct,116
instrumental conditioning,52
instrumental learning,89
integration,7707
intelligence,15387
intention,3569
intentional forgetting,29
intentional learning,29
intentionality,288
interference,5077
Interference Control,179
interference resolution,80
intermediate term memory,10
internal speech,20
internalizing,726
interoception,204
interoceptive representation,2
interrogative,20
intertemporal choice,72
intonation,122
intrinsic motivation,178
introspection,159
involuntary attention,69
irony,67
irritability,876
joint attention,223
judgment,5579
kinaesthetic representation,1
kindness priming,0
kinesthesia,10
knowledge,20872
language,24961
language acquisition,609
language comprehension,806
language learning,371
language processing,1237
language production,432
lateral masking,12
learning,51001
left finger response execution,0
left hand response execution,0
left toe response execution,0
lemma,46
lethargy,153
lexeme,10
lexical access,317
lexical ambiguity,40
