,abst,auth,sect_abs,title
0,"OBJEC-  TIVE: Auditory cues have been shown to focus attention and facilitate response time (RT) in visual target detection tasks. It is important to determine whether the type or expectancy of auditory cues impacts performance differently on tasks that require different cognitive abilities. Therefore, we examined whether cue type (alerting vs. orienting; Experiment 1) or cue expectancy (60% valid, 70% valid, 80% valid; Experiment 2) were beneficial (RT of valid minus no cue condition) and/or costly (RT of invalid minus no cue condition) to performance on a visual target elevation discrimination task. METHODS: In Experiment 1, the alerting cue was presented simultaneously to the left or right of the target and this was contrasted with an orienting cue presented to either the left or right of the target (50% of the time valid or predictive of target location). In Experiment 2, participants were presented with 3 possible orienting cueing conditions that varied in cue expectancy. RESULTS: As predicted Experiment 1 found that orienting cues provided approximately 2.5 times the cue benefit over alerting cues. Surprisingly, invalid orienting cues exerted no cost on performance. In Experiment 2 we found that both 60% and 80% validity provides the greatest cue benefit. Invalid cues, however, exerted no cost. CONCLUSION: Our findings show that when discriminating stimuli, auditory cues that provide spatial information are more beneficial than alerting cues, despite the non-informative nature of the cue. In addition, the expectation of cue validity affects the extent of auditory cue benefit. ","urtis1, Janna K. Comrie1, Anthony Colange1, Susan J. E. Murtha1; 1York University",A1, EFFECTS OF AUDITORY CUES ON VISUAL ATTENTION: COST/BENEFITS OF CUE TYPE AND VALIDITY EXPECTANCY F. K. J. E.
1,"Self-initiated sounds elicit an attenuated N1 component of the auditory event-related potential compared to externally initiated sounds. It has been suggested that this N1-modulation is mediated by an internal predictive mechanism that would allow discriminating the sensory consequences of one’s own actions from those of others. As this particular paradigm is becoming a popular method to investigate predictive processing, it is important to ensure its validity. However, in previous studies, the effect could have been confounded by a differential allocation of attention to self- and externally initiated sounds. The present study investigates to which extent the N1suppression effect to self-initiated sounds can be explained by attention. We used a mixed design presenting self- and externally initiated sounds in the same block and manipulated the allocation of attention blockwise. Participants had to count either all sounds they could hear, all button presses they made or all extended fixation crosses they saw on a screen, respectively. Thus, attention to the sounds was decreased gradually across these three attention conditions. If attention influences the Cognitive Neuroscience Society — 2012 Annual Meeting  self-initiation effects, we expected increasing N1-suppression with decreasing attention to the sounds. The results indicate clear N1-suppression for self- compared to externally initiated sounds for all three attention conditions. Interestingly, no interaction between attention and self-initiation effects was found, suggesting that self-initiation effects were not influenced by attention. In conclusion, the present results support the assumption that the N1-suppression effect for self-initiated sounds reflects a genuine effect based on an internal forward mechanism. "," Jana Timm1, Iria SanMiguel1, Katja Saupe1,  Erich Schröger1; 1University of Leipzig",A2, THE N1-SUPPRESSION EFFECT FOR SELF-INITIATED SOUNDS IS NOT INFLUENCED BY ATTENTION
2,"According to the object-based account of auditory attention, we can selectively orient our attention to one of several co-existing sound objects within short-term memory (STM). The present study tested this model using complex auditory scenes. We used a delayed match-to-sample change identification task, in which pairs of auditory scenes were either different or identical. Auditory scenes were composed of three concurrent, realistic sounds (e.g., dog bark, piano tone, etc.) that could be easily segregated from one another. In Experiment 1, a 2-second retention interval separated the two scenes presented on each trial. On some trials, participants were cued (100% valid) to a particular sound either at the beginning of the trial before Scene 1 (Pre-Stimulus Cue) or at various times during the retention interval (Retro-Cue). On other trials, no cues were presented. Change identification performance was superior (i.e., increased accuracy and decreased RT) on both Pre-stimulus Cue and Retro-Cue trials compared to No Cue trials. Experiment 2 was similar to Experiment 1, except that the retention interval was increased to 4 seconds. Similar to Experiment 1, retro-cues presented at various time points within this 4-second retention interval improved performance relative to No Cue trials. Thus, listeners were able to orient their attention to a particular sound object in STM via retro-cues, for up to 4 seconds of memory retention, thereby supporting the object-based account of auditory attention and replicating analogous retro-cue studies in vision. "," Kristina  Backer1,2, Claude Alain1,2; 1Rotman Research Institute at Baycrest Centre, Toronto, Canada, 2University of Toronto",A3, RETRO-CUEING LISTENERS' ATTENTION TO SOUND OBJECT C. REPRESENTATIONS ATTENUATES CHANGE DEAFNESS
3,"Selective  attention is often described as the exclusion of irrelevant information in order to optimize perception of a single source of sensory input. Failure to maintain selective attention results in the familiar phenomenon of distraction. We sought to investigate the electrophysiological correlates of distraction in the auditory modality. We used an “information masking” paradigm in which participants performed an auditory discrimination task in the presence of varying levels of distraction: in a high-distraction condition, task irrelevant speech was added to the auditory scene, whereas in the low-distraction condition, the speech signal was replaced by energy-matched broad-band noise. The presence of task-irrelevant speech impaired sensi-  37  Poster Session A — Saturday, March 31, 5:30 – 7:30 pm, Exhibit Hall tivity to differentiate targets from non-targets (d’). The auditory EventRelated Potential (ERP) revealed an attenuated N1 component in the high-distraction condition. Also, at the N1 latency we found reduced inter-trial phase locking in the theta EEG band. These results suggest that distraction may act not only to attenuate a sensory-gain mechanism, but also to disrupt the temporal fidelity of responses to auditory events over a sequence of trials.  EXECUTIVE PROCESSES: Working memory","tian Pavlovic1, Karla D. Ponjavic-Conte1, Matthew S. Tata1; 1University of Lethbridge",A4, NEURAL CORRELATES OF DISTRACTION IN AUDITORY SCENE ANALYSIS D. S.
4,"Working memory (WM) is a temporary storage system that can be perturbed systematically by external stimuli. To examine the interaction between WM processing and external stimuli, we developed two paradigms amenable to neuroimaging technologies. Study 1 (n=6) examined the effects of environmental distractors on selfproduced mental imagery. Participants indicated how often they experienced mental imagery of targets (two or six digits) while distractors (digits or letters) were displayed. Preliminary results indicate imagery was a discrete event more frequently employed when participants were holding six digits in mind (M = 9.73, SE = 7.15) than when holding two digits (M = 8.00, SE = 6.74). However, due to the small sample size, results were nonsignificant, p >.05. Study 2 (n=27) explored the effects of external distractors on speech plans held in WM. Participants were cued to say a non-word that they were holding in WM. The cue to say the word was either identical (congruent condition) or was different (interference condition) from the non-word held in mind. Naming latencies were faster in the congruent condition than the incongruent condition, t(26) = 3.14, p < .01. Cue-induced interference arose despite the response certainty and instructions to ignore the cue identity. Systematic interference was also evident in participants' trial-by-trial self-reported 'urges to err,' F(2,26) = 3.02, p = .057. These paradigms further illuminate how WM is susceptible to external stimuli and begin to reveal the subjective aspects of WM performance. The aim of this research is to integrate these paradigms with neuroimaging technologies.  ATTENTION: Auditory","STRACTORS Jessica  Tiffany Jantz1, Ezequiel Morsella1,2; 1San Francisco State University, 2University of California, San Francisco",A5," DISTURBING WORKING MEMORY: REHEARSAL, IMAGERY, AND LATENCY EFFECTS FROM EXTERNAL DISTRACTORS"
5,"In a crowded sensory environment, organisms must be able to prioritize information to efficiently maintain focus and interact with critical stimuli in the environment. One characteristic known to modulate attention is the emotional nature, or valence, of the stimuli. In the visual domain, we often orient our attention toward emotional stimuli. This bias is accompanied by enhanced activity in ventral visual processing areas. In our study, we investigated whether similar effects are observed in the auditory domain. We used functional magnetic resonance imaging (fMRI) to identify the neural processes involved in localizing emotional sounds. We created a virtual auditory environment in the scanner by generating sounds based on each individual’s unique head-related transfer functions. While undergoing fMRI, participants indicated the position of a sound as quickly and accurately as possible from four potential locations spanning the front horizontal plane. Enhanced activity to emotional relative to neutral sounds was observed in an area of cortex along the superior temporal gyrus, anterior to primary auditory cortex. In addition, an area posterior to primary auditory cortex, was modulated as a function of location. Conjunction analyses confirmed the spatial dissociation of these effects. These patterns of activation are consistent with the putative 'what' and 'where' auditory processing stream, and imply that the  38  valence of auditory cues augments neural activity in the 'what' but not 'where' pathway for auditory processing. ","lywy1, Ewan A. Macpherson1, Steven  G. Greening1, Derek G.V. Mitchell1; 1University of Western Ontario",A6, EFFECTS OF EMOTIONAL VALENCE ON THE ‘WHAT’ AND ‘WHERE’ PATHWAYS OF AUDITION. A. G. G.V.
6,"Brain imaging data were acquired from two subject groups  - persons with hearing loss and tinnitus (TIN) and those with normal hearing without tinnitus (NH) - to test the hypothesis that TIN and NH subjects use different functional brain networks for short-term memory. Previous studies have provided evidence of a link between hearing disorders such as tinnitus and the reorganization of functional networks including those outside of the classical auditory pathway. A deeper understanding this reorganization could lead to the development of more effective therapies and treatments for tinnitus. Data analysis was conducted on functional magnetic resonance imaging (fMRI) data obtained while subjects performed auditory short-term memory tasks with low (LO) or high (HI) attentional loads. Stimuli were pure tones with frequencies between 500 and 1000 Hz. In LO tasks, subjects determined whether two such tones which were 0.5 s apart in time were identical or not. In HI tasks, the objective was to determine whether any two of three tones, with the first two 0.5 s apart and the third one 1 s after the second one, were identical or not. Preliminary statistical analyses showed that the NH group exhibited more extensive fMRI response relative to TIN for a HI>LO t-contrast at p?0.001 (uncorrected), with notable differences in their respective patterns. The reaction times and accuracies with which subject performed the tasks did not differ significantly across the groups. "," Kwaku Akrofi1, Jake  Carpenter-Thompson1, Fatima Husain1; 1University of Illinois at UrbanaChampaign",A7, EFFECTS OF TINNITUS AND HEARING LOSS ON FUNCTIONAL BRAIN NETWORKS INVOLVED IN SHORT-TERM MEMORY
7,"Variability in cortical auditory-evoked responses provides a neural index of auditory attention performance in children and adults. Given that musical training exercises auditory attention, it is not surprising that adult and elementary school-aged musicians demonstrate more of an impact of attention on response variability than nonmusicians. The developmental time course for this neural index of auditory attention and how it unfolds with musical training, however, remains undetermined. Here, we compared cortical auditory-evoked variability with auditory attention in musicians and nonmusicians across three age groups: young adults, 8-12 year olds and 3-5 year olds. We aimed to determine how childhood musical training impacts this cortical index of auditory attention performance across the child lifespan and into adulthood. Results reveal decreased auditoryevoked response variability with attention in adults and older children with musical training, with more general cortical enhancements in 3-5 year old musicians. Outcomes may be considered in the context of training-dependent plasticity with musical training and are consistent with increased specialization of neural function over development. ","  Dana Strait1, Nina Kraus1; 1Northwestern University",A8, IMPACTS OF SELECTIVE AUDITORY ATTENTION AND MUSICAL TRAINING ON CORTICAL RESPONSE VARIABILITY IN CHILDREN AND ADULTS
8,"Recent studies report activity in auditory cortex that is phase-locked to the envelope of speech, but the function of this activity remains unclear. It may result from successful attention to and comprehension of speech. Alternatively, the activity may simply reflect responses to stimulus acoustics. We recorded high-density EEG while adults selectively attended to speech coming from one speaker, while ignoring speech from others. Detailed timing and topographic information about phase-locked responses were extracted by cross-correlating the time-series of both attended and unattended stimulus envelopes with the time-series of EEG channels and ICA components derived from the data. We found very low-latency phase-locked responses that encode the envelopes of both attended and unattended speech equally Cognitive Neuroscience Society — 2012 Annual Meeting  Saturday, March 31, 5:30 – 7:30 pm, Exhibit Hall — Poster Session A well, suggesting that sub-cortical representations of speech envelopes do not depend on attention. The longer-latency, cortical responses differed considerably between attended and unattended speech. By examining the ICA components that contribute to these responses, we found two general patterns of activity. Some ICA components that phase-locked to attended speech showed attenuated or entirely absent phase-locking to unattended speech. Another class of components phase-locked to both attended and unattended speech, but the attended and unattended responses were 180 degrees out of phase. Our data suggests that mechanisms for selective attention to one of multiple speakers likely involves traditional enhancement and suppression mechanisms, as well as a modulation of the phase of endogenous activity in auditory cortex to align high-excitability periods with attended speech syllables. "," Cort Horton1, Michael D'Zmura1, Ramesh Srinivasan1; 1  University of California, Irvine",A9, SELECTIVE ATTENTION AND THE NEURAL REPRESENTATION OF SPEECH ENVELOPES
9,"When listening to music, we move in synchrony with the beat, which is inferred from accents. In our previous work (Kung et al., in press), although both musicians and non-musicians allocated attention dynamically according to metrical and grouping accents when performing a task that no explicit attention to the rhythmic pattern was required, only musicians demonstrated extraordinary sensitivity to the grouping accents when they coincided with metrical accents, suggesting that the automaticity of auditory entrainment to temporal regularity is modulated by musical training. The present study examined the neuromagnetic correlates of such dynamic allocation of attention to further verify the effect of musical expertise. Specifically, musically trained and not-trained participants listened to monotonic and isochronous sequences and were required to detect whether the occurrence of the last tone was temporally expected. The mismatch field (MMF) elicited by a deviant click, appeared in 40% of the sequences, that coincided with a metrically strong or weak beat and with or without a grouping accent within a perceptual group was recorded. The results replicated our previous findings in showing that the magnitude of MMF was modulated by metrical and grouping accents in musicians, while these effects were reduced in non-musicians. The results further suggest that auditory entrainment to temporal regularity induced by metrical and grouping accents is automatic in musicians but less so in non-musicians when participants’ attention was only directed to the inter-tone interval but not to the metrical structure of a rhythm.  EMOTION & SOCIAL: Self perception"," Shu-Jen Kung1,  Ovid Tzeng1,2, Daisy Hung1,3, Chiashin Shih1,3,4, Denise Wu1,3; 1National Yang Ming University, 2Academia Sinica, 3National Central University, 4National Chengchi University",A10, NEUROMAGNETIC CORRELATES OF DYNAMIC ALLOCATION OF ATTENTION TO METRICAL AND GROUPING ACCENTS IN RHYTHMIC SEQUENCES ARE MODULATED BY MUSICAL EXPERTISE
